S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"2,200",Yes,fixed,,Nil,Nil,"A/R to Disty No.8A1/2 ,8B and 8B1 of K.Canal for the year 2023-24","A/R to Disty No.8A1/2 ,8B and 8B1 of K.Canal for the year 2023-24",Please refer Tender documents. ,NA ,"2,14,933",Civil Works - Others,NA ,Tender,90.0,60.0,KENDUPATANA,754021.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTIN,AFFIDAVIT,NRC,EMD,TENDER PAPER COST AND OTHER DOCUMENTS AS PER DTCN",1.0,CORRIGENDUM,Fee,,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",MND-05 OF 2023-24,2023_CELBB_89440_14,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"SUPERINTENDING ENGINEER, MND-I, JAGATPUR","O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",30-May-2023 04:45 PM,06-Jun-2023 11:30 AM,30-May-2023 04:45 PM,05-Jun-2023 05:00 PM,30-May-2023 04:45 PM ,03-Jun-2023 05:30 PM ,30-May-2023 04:45 PM,05-Jun-2023 05:00 PM,"2,000",0.0,Nil,Nil,No,AOC,1,2154000,LIPU KUMAR MALL,05-Jun-2023 08:34 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,04-Jul-2023 11:30 AM,11-Aug-2023,"INR 182,715",60.0,Sanjeeb Kumar Behera,11-Aug-2023 04:57 PM,mnd514.pdf (302.00 KB),ER. SANJEEB KUMAR BEHERA,Internal,,Supriya Sahoo,04-Jul-2023 11:28 AM,techsummary_439652.pdf (340.72 KB),"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",2023_CELBB_89440_14,MND-05 OF 2023-24,"A/R to Disty No.8A1/2 ,8B and 8B1 of K.Canal for the year 2023-24",ER. SANJEEB KUMAR BEHERA,Internal,,Supriya Sahoo,04-Jul-2023 11:30 AM,finsummary_439652.pdf (340.72 KB),Finance,4 BIDDERS ARE PARTICIPATED,Supriya Sahoo,06-Jun-2023 05:09 PM,,BOQ Comparative Chart,1.0,2154024.0,SUKADEV SETHI,INR,"182,715",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,1st corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2153677,Pradeep Patra,04-Jun-2023 10:15 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,04-Jul-2023 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2154015,SAMARENDRA KUMAR SAMAL,05-Jun-2023 09:49 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,04-Jul-2023 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2154024,SUKADEV SETHI,05-Jun-2023 09:24 AM,Accepted-AOC,SELECTED IN LOTTERY,11-Aug-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
