Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"6,000",0.0,Nil,Nil,No,"31,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GST,1.0,ICICI BANK,27-May-2023 09:00 AM,09-Jun-2023 10:00 AM,27-May-2023 09:00 AM,08-Jun-2023 05:00 PM,NA ,NA ,27-May-2023 09:00 AM,08-Jun-2023 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,SE DKL (R and B) 04 of 2023-24,2023_EICCL_89364_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Kitchen-cum-Dinning Hall in Odisha Adarsha Vidyalaya at Ankartipur under Odapada Block in Dhenkanal District,Construction of Kitchen-cum-Dinning Hall in Odisha Adarsha Vidyalaya at Ankartipur under Odapada Block in Dhenkanal District,Please refer tender documents ,NA ,"31,36,411",Civil Works - Buildings,NA ,Tender,90.0,120.0,Dhenkanal,759001.0,NA ,NA ,NA ,SE R and B Dhenkanal,No ,No,SE R and B Dhenkanal,SE R and B Dhenkanal,AOC,1,2156527,Chadan Maharana,07-Jun-2023 10:55 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,13-Aug-2023,"INR 3,136,411",120.0,Manoranjan Biswal,13-Aug-2023 05:22 PM,Kitchen_anknrantipur.pdf (316.00 KB),agreement is done on 17.07.2023,Superintending Engineer Dhenkanal R and B Division,Internal,SE Sr DAO AEE estimator JE estimator,Manoranjan Biswal,13-Aug-2023 05:19 PM,finsummary_439394.pdf (20.57 KB),Finance,Fourteen bids are opened,Manoranjan Biswal,09-Jun-2023 11:45 AM,finance_439394.pdf,BOQ Comparative Chart,Superintending Engineer Dhenkanal R and B Division,Internal,SE Sr DAO AEE estimator JE estimetor,Manoranjan Biswal,23-Jun-2023 07:51 PM,techsummary_439394.pdf (196.31 KB),1.0,2156990.0,PRITI PADMA PATRA,INR,"2,666,263",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,2023_EICCL_89364_2,SE DKL (R and B) 04 of 2023-24,Construction of Kitchen-cum-Dinning Hall in Odisha Adarsha Vidyalaya at Ankartipur under Odapada Block in Dhenkanal District,AOC
,,,,,,,,,,,,,.pdf,"Affidavit, machineries",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2157148,DEEPAK PRASAD JENA,07-Jun-2023 10:01 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2156591,FAKIRA MOHAN MOHAPATRA,07-Jun-2023 10:49 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2157167,Gyanendra Dhar,07-Jun-2023 10:41 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2157501,JAYACHANDRA PRADHAN,08-Jun-2023 01:58 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2157188,JEETENDRA KUMAR BEHERA,07-Jun-2023 11:39 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2157155,Mihir Laden Panda,07-Jun-2023 10:47 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2157657,NIRMAL KUMAR BARAL,08-Jun-2023 04:11 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2156990,PRITI PADMA PATRA,07-Jun-2023 08:34 PM,Accepted-AOC,Work has been awarded,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2157158,Rajendra Dhar,07-Jun-2023 10:43 PM,Rejected-AOC,Disqualified in transparent lottery,13-Aug-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
