Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Chief Executive Officer,"The Chief Executive Officer, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444",1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN","21,35,000",Yes,fixed,,Nil,Nil,29-Apr-2023 11:00 AM,16-May-2023 12:30 PM,29-Apr-2023 11:00 AM,15-May-2023 05:00 PM,NA ,NA ,29-Apr-2023 11:00 AM,15-May-2023 05:00 PM,23-May-2023 05:30 PM,"Procurement of lSl marked Dl K-7, K-9 socket and spigot pressure pipes of different diameters for ULBS under","Procurement of lSl marked Dl K-7, K-9 socket and spigot pressure pipes of different diameters for ULBS under WATCO Division, Cuttack",Please refer Tender documents. ,NA ,"10,67,26,000",Civil Works - Water Works,NA ,Tender,120.0,90.0,Cuttack,753001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"11,800",Nil,Nil,No,WATCO Bhubaneswar,WATCO (W)-05/2023-24 Dtd.25.04.2023,2023_WATCO_88390_1,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,Technical,Four no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Rajendra Nath Nayak,16-May-2023 02:14 PM,,1,2130441,Electrosteel Castings Limited,12-May-2023 12:36 PM,Rejected-AOC,Not a lowest bidder,31-Aug-2023 06:01 PM,Finance,Four no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Rajendra Nath Nayak,23-May-2023 05:35 PM,,BOQ Comparative Chart,31-Aug-2023,"INR 110,355,083",90.0,Rajendra Nath Nayak,31-Aug-2023 06:01 PM,AOC.PDF (5854.00 KB),Chief Executive Officer,Internal,,Rajendra Nath Nayak,31-Aug-2023 05:59 PM,finsummary_435776.pdf (665.77 KB),Chief Executive Officer,Internal,,Rajendra Nath Nayak,23-May-2023 04:47 PM,23-May-2023 05:30 PM,techsummary_435776.pdf (2607.90 KB),WATCO Bhubaneswar,2023_WATCO_88390_1,WATCO (W)-05/2023-24 Dtd.25.04.2023,"Procurement of lSl marked Dl K-7, K-9 socket and spigot pressure pipes of different diameters for ULBS under",1.0,2135578.0,ESL STEEL LIMITED,INR,"110,355,083",AOC
,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,2,2135578,ESL STEEL LIMITED,15-May-2023 01:40 PM,Accepted-AOC,Lowest bidder,31-Aug-2023 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,2127616,JINDAL SAW LIMITED,15-May-2023 10:59 AM,Rejected-AOC,Not a lowest bidder,31-Aug-2023 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Break-up of the Price per Meter Length of Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,2136625,Tata Metaliks Limited,15-May-2023 12:36 PM,Rejected-AOC,Not a lowest bidder,31-Aug-2023 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
