Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
28-Mar-2023 09:00 AM,11-Apr-2023 11:00 AM,28-Mar-2023 09:00 AM,10-Apr-2023 05:00 PM,NA ,NA ,28-Mar-2023 09:00 AM,10-Apr-2023 05:00 PM,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-RAYAGADA,EERWRGD-Online-13/2022-23,2023_CERWI_87304_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"43,800",Yes,fixed,,Nil,Nil,Construction of RI Office cum residence at Kashipur under Kashipur Tahasil for the year 2022 23,Bulding Works,Please refer Tender documents. ,NA ,"43,80,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rayagada,765001.0,NA ,NA ,NA ,EE RWD RAYAGADA,No ,No,EE RWD RAYAGADA,EE RWD RAYAGADA,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENSE PAN CARD GSTIN AND AS PER DTCN,AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-RAYAGADA,2023_CERWI_87304_1,EERWRGD-Online-13/2022-23,Construction of RI Office cum residence at Kashipur under Kashipur Tahasil for the year 2022 23,1.0,2110619.0,BRAHMANANDA MALIK,INR,"4,232,099","JE Estimator, Sr.DAO, Executive Engineer",Internal,,Shyam Sundar Behera,03-Aug-2023 10:57 PM,techsummary_432558.pdf (201.61 KB),"JE Estimator, Sr.DAO, Executive Engineer",Internal,,Shyam Sundar Behera,03-Aug-2023 11:14 PM,finsummary_432558.pdf (201.60 KB),Finance,Tender documents verified,Shyam Sundar Behera,03-Aug-2023 10:50 PM,,BOQ Comparative Chart,03-Aug-2023,"INR 4,132,099",180.0,Shyam Sundar Behera,03-Aug-2023 11:19 PM,KashipurWork.pdf (220.00 KB),Award of contract,1,2110619,BRAHMANANDA MALIK,08-Apr-2023 04:22 PM,Accepted-AOC,1st lowest tenderer,03-Aug-2023 11:20 PM,AOC
,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2110961,CHANDRA SEKHAR SAHUKAR,09-Apr-2023 05:57 PM,Rejected-AOC,2nd lowest tenderer,03-Aug-2023 11:20 PM,AOC
