Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD (Online), Registration Certificate,PAN,GSTIN, affidavit other documents as per DTCN","8,000",Yes,fixed,,Nil,Nil,12-May-2023 12:00 PM,18-May-2023 11:30 AM,12-May-2023 12:00 PM,17-May-2023 04:00 PM,12-May-2023 12:00 PM ,16-May-2023 04:00 PM ,12-May-2023 12:00 PM,17-May-2023 04:00 PM,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE(RandB)Divn-I-BAM-03/2023-24,2023_EICCL_88925_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S/R to P.G Hostel No.-2 (Block No.1,2,3 and 4) such as providing plastering and painting work at MKCG Medical College and Hospital, Berhampur",Building work,Please refer Tender documents. ,NA ,"7,92,841",Civil Works - Buildings,NA ,Tender,90.0,60.0,"Berhampur, Ganjam",760004.0,NA ,NA ,NA ,"O/o the SE, Ganjam RandB Division No.I, Berhampur",No ,No,Superintending Engineer,"Ganjam RnadB Division No.I, Giri Road, Near Gita Bhavan, Berhampur - 760005",AOC,09-Aug-2023,"INR 673,994",60.0,Bankim Chandra Panda,09-Aug-2023 02:35 PM,35.pdf (351.00 KB),Contract awarded to Sri Maheswar Pradhan,Superintending Engineer,Internal,Sr DAO AE Estimators,Bankim Chandra Panda,09-Aug-2023 02:34 PM,finsummary_437595.pdf (405.84 KB),Finance,23 Nos bidders are participated and tender under Scrutiny,Neelima Behera,18-May-2023 06:55 PM,finance_437595.pdf,BOQ Comparative Chart,1,2141173,ADIKANDA SABAT,17-May-2023 12:59 PM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2023_EICCL_88925_5,SE(RandB)Divn-I-BAM-03/2023-24,"S/R to P.G Hostel No.-2 (Block No.1,2,3 and 4) such as providing plastering and painting work at MKCG Medical College and Hospital, Berhampur",1.0,2141396.0,MAHESWAR PRADHAN,INR,"673,994",Superintending Engineer,Internal,Sr DAO AE Estimators,Bankim Chandra Panda,09-Aug-2023 02:28 PM,techsummary_437595.pdf (350.85 KB),AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2140363,ANIL KUMAR PATRO,16-May-2023 03:36 PM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2140590,ARATI PANDA,16-May-2023 07:09 PM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2140963,ASHUTOSH,17-May-2023 09:47 AM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2140695,Bharati Kumari Sahu,17-May-2023 06:51 AM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2140340,G. BABULA DORA,16-May-2023 03:46 PM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2137855,G Kamaraju Reddy,17-May-2023 07:26 AM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2141157,JAGANNATH SAHU,17-May-2023 12:40 PM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2139222,Kedar Kumar Sahu,15-May-2023 04:04 PM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2141014,KHIROD CHANDRA SAHU,17-May-2023 11:01 AM,Rejected-AOC,Reject in lottery,09-Aug-2023 02:37 PM,,,,,,,,,,,,,,,,AOC
