Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,2023_EICCL_90344_5,SE/R AND B/ SNPR / 06 / 2023-24,"Construction of New Gents and Ladies Toilet Block at Tahasil Office, Birmaharajpur for 2023-24",1.0,2177547.0,ASHOK KUMAR PANIGRAHI,INR,"492,284.84",D. Kaibartta S.E.,Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Manjit Singh,10-Aug-2023 06:03 PM,techsummary_442797.pdf (35.98 KB),Finance,12 nos. Bidders are participate and all are admitted,Damodar Kaibartta,20-Jul-2023 12:54 PM,finance_442797.pdf,BOQ Comparative Chart,"D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Manjit Singh,10-Aug-2023 06:05 PM,finsummary_442797.pdf (35.98 KB),10-Aug-2023,"INR 492,284.84",90.0,Manjit Singh,10-Aug-2023 06:06 PM,r.pdf (165.00 KB),Work Order,1,2177547,ASHOK KUMAR PANIGRAHI,15-Jul-2023 07:15 PM,Accepted-AOC,Awarded for lottery system,10-Aug-2023 06:07 PM,AOC,"4,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,SE/R AND B/ SNPR / 06 / 2023-24,2023_EICCL_90344_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,05-Jul-2023 10:00 AM,20-Jul-2023 11:30 AM,05-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,05-Jul-2023 10:00 AM ,18-Jul-2023 05:00 PM ,05-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,1.0,ICICI BANK,Superintending Engineer,"O/O SE (RandB) Division, Sonepur","5,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost (Online), EMD (online), GST Certificate, PAN Contractor RC","Construction of New Gents and Ladies Toilet Block at Tahasil Office, Birmaharajpur for 2023-24","Construction of New Gents and Ladies Toilet Block at Tahasil Office, Birmaharajpur for 2023-24",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,90.0,Sonepur,767017.0,"O/O SE (RandB) Division, Sonepur ","O/O SE (RandB) Division, Sonepur ",17-Jul-2023 11:00 AM ,"O/O SE (RandB) Division, Sonepur",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2178829,DURGESH PANDA,19-Jul-2023 02:12 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD / DTCN",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2180202,LABA MEHER,19-Jul-2023 10:45 AM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2179111,Namita Rani Sahu,19-Jul-2023 02:03 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2177795,SATRUGHNA KARNA,19-Jul-2023 03:14 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2178814,SATYENDRA PRASAD,19-Jul-2023 02:28 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2179810,SHIBA NARAYAN PUROHIT,18-Jul-2023 01:04 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2181239,SHIBA PRASAD AGRAWALLA,19-Jul-2023 03:29 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2181162,SOURAV KUMAR BEDBAK,19-Jul-2023 02:46 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2174857,SRINIBASA DASH,19-Jul-2023 12:34 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
