Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
"CCE RW Circle, Baripada",Internal,,Ashwani Pradhan,21-Apr-2023 05:40 PM,01-May-2023 01:10 PM,techsummary_431178.pdf (374.21 KB),CE RW I||RWCIRCLE-BARIPADA,2023_CERWI_86922_6,Bridge Online N.C.B. No-271 Bridge work,Construction of Bridge over Hodagada Nallah at on Dewanbahali Gaipani Chhaka in the District of Mayurbhanj under B.S.Y.,1.0,2102153.0,SWARUP KUMAR MOHAPATRA,INR,"21,792,556",Finance,05 Nos bidders admitted,Ashwani Pradhan,06-Jul-2023 05:15 PM,,BOQ Comparative Chart,1,2102941,AJAY KUMAR ROUT,24-Mar-2023 03:59 PM,Rejected-Technical,Insufficient Similar Nature of work experience.,21-Apr-2023 05:40 PM,Technical,08 Nos bidder participated,Ashwani Pradhan,21-Apr-2023 05:32 PM,,20-Jul-2023,"INR 21,792,556",365.0,Ashwani Pradhan,22-Aug-2023 08:31 PM,Hadagoda.pdf (79.00 KB),CCE RWC Baripada,Internal,,Ashwani Pradhan,06-Jul-2023 05:20 PM,finsummary_431178.pdf (944.21 KB),AOC,"2,56,350",Yes,percentage,1.0%,Nil,Nil,Construction of Bridge over Hodagada Nallah at on Dewanbahali Gaipani Chhaka in the District of Mayurbhanj under B.S.Y.,Construction of Bridge over Hodagada Nallah at on Dewanbahali Gaipani Chhaka in the District of Mayurbhanj under B.S.Y.,Please refer Tender documents. ,NA ,"2,56,35,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,"SERW Division, Baripada",757105.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,1.0,ICICI BANK,CCE RWC Baripada,CCE RWC Baripada,15-Mar-2023 01:30 PM,28-Mar-2023 11:00 AM,15-Mar-2023 01:30 PM,25-Mar-2023 05:00 PM,15-Mar-2023 01:30 PM ,23-Mar-2023 05:00 PM ,15-Mar-2023 01:30 PM,25-Mar-2023 05:00 PM,01-May-2023 01:10 PM,CE RW I||RWCIRCLE-BARIPADA,Bridge Online N.C.B. No-271 Bridge work,2023_CERWI_86922_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN","10,000",0.0,Nil,Nil,No,1.0,"Due Date Extended - Due to some issues in accessing portals, all the tenders due for closing on 24-Mar-2023 have been extended by 24 hours as per System Malfunction Procedure. Inconvenience caused is deeply regretted.",Admin Corrigendum Date Extend,,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2101825,ALINA SAMAL,22-Mar-2023 06:30 PM,Rejected-AOC,L4,22-Aug-2023 08:32 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2102851,BISWA RANJAN PANDA,23-Mar-2023 08:21 PM,Rejected-AOC,L1,22-Aug-2023 08:32 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2103105,KIRAN KUMAR DAS,24-Mar-2023 05:28 PM,Rejected-AOC,L2,22-Aug-2023 08:32 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2101735,Ms SHREE RADHA KRISHNA INFRASTRUCTURE,25-Mar-2023 02:40 PM,Rejected-Technical,Insufficient Similar Nature of work experience.,21-Apr-2023 05:40 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2100907,Nanda Kishore Bindhani,23-Mar-2023 08:01 PM,Rejected-AOC,L3,22-Aug-2023 08:32 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2102871,PURNA CHANDRA BARIK,25-Mar-2023 11:38 AM,Rejected-Technical,Insufficient Similar Nature of work experience.,21-Apr-2023 05:40 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2102153,SWARUP KUMAR MOHAPATRA,22-Mar-2023 02:17 PM,Accepted-AOC,L1,22-Aug-2023 08:32 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
