Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Superintending Engineer,Keonjhar (RandB) Division","O/o the Superintending Engineer, Keonjhar (R and B) Division, Keonjhar - 758001",Proposed Modification of Existing Hexagonal Structure of Odisha Adarsha Vidyalaya as per CBSE Norms at Saharpada BHQ in the district of Keonjhar for the year 2022-23. (Civil and E.I.),Proposed Modification of Existing Hexagonal Structure of Odisha Adarsha Vidyalaya as per CBSE Norms at Saharpada BHQ in the district of Keonjhar for the year 2022-23. (Civil and E.I.),Please refer Tender documents. ,NA ,"66,35,873",Civil Works - Buildings,NA ,Tender,90.0,180.0,Keonjhar,758001.0,NA ,NA ,NA ,"O/o the Superintending Engineer,Keonjhar(RandB)Div",No ,No,"10,000",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-KEONJHAR,Bid Identification No PWDK- 16 / 2022-23.,2022_EICCL_81617_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, PAN, GSTIN, Contractor registration Certificate, Affidavit, etc.",20-Sep-2022 09:00 AM,29-Sep-2022 11:30 AM,20-Sep-2022 09:00 AM,28-Sep-2022 05:00 PM,NA ,NA ,20-Sep-2022 09:00 AM,28-Sep-2022 05:00 PM,11-Nov-2022 12:30 PM,AOC,1.0,1941008.0,LOHIT KUMAR MAHANTA,INR,"5,972,285.48",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-KEONJHAR,2022_EICCL_81617_2,Bid Identification No PWDK- 16 / 2022-23.,Proposed Modification of Existing Hexagonal Structure of Odisha Adarsha Vidyalaya as per CBSE Norms at Saharpada BHQ in the district of Keonjhar for the year 2022-23. (Civil and E.I.),Er Santosh Kumar Behera,Internal,"Superintending Engineer, Sr. Divisional Accounts Officer, Assistant Executive Engineer Keonjhar R and B Division Keonjhar",Santosh Kumar Behera,07-Nov-2022 06:04 PM,11-Nov-2022 12:30 PM,techsummary_411156.pdf (709.29 KB),Er Santosh Kumar Behera,Internal,"Superintending Engineer, Divisional Accounts Officer No-I, Assistant Executive Engineer Keonjhar R and B Division Keonjhar",Santosh kumar Behera,02-Aug-2023 03:38 PM,finsummary_411156.pdf (75.19 KB),02-Aug-2023,"INR 5,972,285.48",180.0,Santosh kumar Behera,02-Aug-2023 03:40 PM,325_Lohit.pdf (249.00 KB),L1 Bidder,Finance,Bid opening summary,Santosh Kumar Behera,11-Nov-2022 02:07 PM,finance_411156.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Santosh Kumar Behera,29-Sep-2022 04:09 PM,technical_411156.pdf,1,1940972,BIMAL BHUSAN MOHANTA,27-Sep-2022 06:38 PM,Rejected-AOC,L2,02-Aug-2023 03:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1939969,Chandrakanta Dhal,27-Sep-2022 12:22 PM,Rejected-Technical,As per decision of Tender Evaluation Committee.,07-Nov-2022 06:04 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1940219,CHINTAMANI SAHOO,26-Sep-2022 08:55 PM,Rejected-Technical,As per decision of Tender Evaluation Committee.,07-Nov-2022 06:04 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1941008,LOHIT KUMAR MAHANTA,27-Sep-2022 07:17 PM,Accepted-AOC,L1,02-Aug-2023 03:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1941907,RATNAKAR NAIK,28-Sep-2022 04:37 PM,Rejected-Technical,As per decision of Tender Evaluation Committee.,07-Nov-2022 06:04 PM,AOC
