S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,01-Jun-2023 10:00 AM,13-Jun-2023 10:00 AM,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,NA ,NA ,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,Construction of road (paver) from Bijay Sabar house to Pradipta Das house at Sambhunagarpada in Ward No.15,Construction of road (paver) from Bijay Sabar house to Pradipta Das house at Sambhunagarpada in Ward No.15,Please refer Tender documents. ,NA ,"8,75,053",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"4,000",0.0,Nil,Nil,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",Municipal Bodies||Bhawanipatna Municipality,BPM/02/2023-24,2023_ORULB_89441_124,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"8,751",Yes,fixed,,Nil,Nil,AOC,CP,Internal,"JE,ME,STO,EO,CP",Chinmaya Kumar Nayak,30-Aug-2023 06:26 PM,finsummary_439799.pdf (2452.55 KB),CP,Internal,"JE,ME,EO,CP",Chinmaya Kumar Nayak,16-Jul-2023 08:42 PM,techsummary_439799.pdf (2452.55 KB),30-Aug-2023,"INR 743,882.15",30.0,Chinmaya Kumar Nayak,30-Aug-2023 06:27 PM,TENDERPROCEEDING.pdf (2453.00 KB),AWARDED,1,2158754,MANOJ KUMAR PATRA,11-Jun-2023 12:08 PM,Accepted-AOC,AWARDED,30-Aug-2023 06:28 PM,Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_89441_124,BPM/02/2023-24,Construction of road (paver) from Bijay Sabar house to Pradipta Das house at Sambhunagarpada in Ward No.15,1.0,2158754.0,MANOJ KUMAR PATRA,INR,"743,882.15",Finance,ACCEPTED,Chinmaya Kumar Nayak,16-Jul-2023 01:27 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2159006,SNP DEVELOPERS PROP. PRADYUT PRADHAN,12-Jun-2023 06:10 AM,Rejected-Finance,L2,30-Aug-2023 06:26 PM,,,,,,,,,,,,,,,,AOC
