Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
"D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Manjit Singh,10-Aug-2023 06:14 PM,techsummary_441681.pdf (36.86 KB),1.0,2171096.0,SAMIR KUMAR THANAPATI,INR,"2,600,948.47",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,2023_EICCL_89955_1,SE/R AND B/ SNPR / 05 / 2023-24,"Construction of Conference Hall at Tahasil Office, Birmaharajpur in the District of Subarnapur for the year 2023-24",1,2171075,BISWARANJAN KANDI,01-Jul-2023 01:30 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,Finance,10 nos. bidders are participate and all are accepted,Damodar Kaibartta,03-Jul-2023 01:19 PM,finance_441681.pdf,BOQ Comparative Chart,"D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Manjit Singh,10-Aug-2023 06:18 PM,finsummary_441681.pdf (36.85 KB),10-Aug-2023,"INR 2,600,948.47",120.0,Manjit Singh,10-Aug-2023 06:19 PM,r.pdf (185.00 KB),Work Order,AOC,"Construction of Conference Hall at Tahasil Office, Birmaharajpur in the District of Subarnapur for the year 2023-24","Construction of Conference Hall at Tahasil Office, Birmaharajpur in the District of Subarnapur for the year 2023-24",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,120.0,Sonepur,767017.0,"O/O SE (RandB) Division, Sonepur ","O/O SE (RandB) Division, Sonepur ",30-Jun-2023 11:00 AM ,"O/O SE (RandB) Division, Sonepur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost (Online), EMD (online), GST Certificate, PAN Contractor RC",Superintending Engineer,"O/O SE (RandB) Division, Sonepur",22-Jun-2023 10:00 AM,03-Jul-2023 11:30 AM,22-Jun-2023 10:00 AM,01-Jul-2023 05:00 PM,22-Jun-2023 10:00 AM ,29-Jun-2023 05:00 PM ,22-Jun-2023 10:00 AM,01-Jul-2023 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,SE/R AND B/ SNPR / 05 / 2023-24,2023_EICCL_89955_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"30,600",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2170798,DEBI PRASAD MOHARANA,29-Jun-2023 08:09 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD / DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2170927,KALYANI NANDA,30-Jun-2023 07:46 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2168703,SAMBHU PRASAD AGRAWALLA,27-Jun-2023 08:08 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2171096,SAMIR KUMAR THANAPATI,01-Jul-2023 01:59 PM,Accepted-AOC,Awarded for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2170936,SHIBA NARAYAN PUROHIT,30-Jun-2023 08:25 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2171110,Shiva Narayan Meher,01-Jul-2023 02:13 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2170747,SRIKANTA PRADHAN,29-Jun-2023 03:43 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2171117,SUCHISMITA DHAR,01-Jul-2023 02:36 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2170171,TRAYANJIBA MISHRA,29-Jun-2023 01:31 PM,Rejected-AOC,Rejected for lottery system,10-Aug-2023 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
