S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,1859016.0,Gyanaranjan Amanta,INR,"1,199,691",Finance,lottery,Maruvada Srinivas,19-Aug-2023 06:27 PM,finance_399560.pdf,BOQ Comparative Chart,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,22-Aug-2023 05:36 PM,finsummary_399560.pdf (156.15 KB),Municipal Bodies||Hindol NAC,2022_ORULB_77859_33,HDL NAC-01/2022-23,Development of Burial ground at Rajmohanpur in ward No-13,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,21-Aug-2023 05:41 PM,techsummary_399560.pdf (156.15 KB),1,1855846,BABHRU PRASAD PATI,30-May-2022 12:55 PM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,22-Aug-2023,"INR 1,199,691",60.0,Maruvada Srinivas,22-Aug-2023 05:42 PM,33.pdf (109.00 KB),AOC,AOC,Development of Burial ground at Rajmohanpur in ward No-13,As per DTCN,Please refer Tender documents. ,NA ,"14,11,235",Civil Works - Others,NA ,Tender,120.0,60.0,HINDOL NAC,759022.0,NA ,NA ,NA ,HINDOL NAC,No ,No,1.0,ICICI BANK,0.0,No,fixed,,Nil,Nil,23-May-2022 01:00 PM,03-Jun-2022 11:00 AM,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,NA ,NA ,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,EXECUTIVE OFFICER,HINDOL NAC,Municipal Bodies||Hindol NAC,HDL NAC-01/2022-23,2022_ORULB_77859_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1856946,BIRANCHI MOHAPATRA,30-May-2022 10:45 PM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1859210,DEBI PRASAD PATTANAIK,01-Jun-2022 09:49 AM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1859016,Gyanaranjan Amanta,01-Jun-2022 07:04 AM,Accepted-AOC,L1,22-Aug-2023 05:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1857135,PRADIP KUMAR DAS,31-May-2022 01:43 AM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1859003,PRADOSH PAL,31-May-2022 09:07 PM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1857173,PRAMIL BEHERA,31-May-2022 04:43 AM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1859499,PRAVAT KUMAR PATTANAIK,01-Jun-2022 01:37 PM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1856304,RASANANDA MUDULI,30-May-2022 04:05 PM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1858851,Sadananda Behera,31-May-2022 09:55 PM,Rejected-Technical,Lottery,21-Aug-2023 05:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
