S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2117606.0,GOPAL BHOI,INR,"1,439,469",Finance,Open Successfully,PRABHAS KUMAR RATH,06-May-2023 03:44 PM,finance_434262.pdf,BOQ Comparative Chart,"Superintending Engineer, Barpali Irrigation Division, Barpali.",Internal,"Estimator (AEE), Divisional Account Officer, Superintending Engineer.",PRABHAS KUMAR RATH,31-May-2023 03:23 PM,finsummary_434262.pdf (142.55 KB),"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Barpali Canal Division Barpali",2023_CEBBU_87887_21,BIDT 01 TO 44 2023-24,Improvement to Resham Distributary within RD 6330 m to 6500 m Ex- Bargarh Main Canal under Lump Critical for the year 2023-24.,"Superintending Engineer, Barpali Irrigation Division, Barpali.",Internal,"A.E.E. Estimator, D.A.O, Superintending Engineer.",PRABHAS KUMAR RATH,06-May-2023 05:08 PM,techsummary_434262.pdf (207.11 KB),1,2123571,AJAYA KUMAR BARIHA,27-Apr-2023 04:55 AM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,31-May-2023,"INR 1,693,294",45.0,PRABHAS KUMAR RATH,05-Aug-2023 05:00 PM,21.pdf (144.00 KB),Work Order,AOC,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1.0,ICICI BANK,"SE,BARPALI IRR.DIVISION.BARPALI","O/o SE,BARPALI IRR.DIVISION.BARPAL","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Barpali Canal Division Barpali",BIDT 01 TO 44 2023-24,2023_CEBBU_87887_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to Resham Distributary within RD 6330 m to 6500 m Ex- Bargarh Main Canal under Lump Critical for the year 2023-24.,Improvement to Resham Distributary within RD 6330 m to 6500 m Ex- Bargarh Main Canal under Lump Critical for the year 2023-24.,Please refer Tender documents. ,NA ,"16,93,294",Civil Works - Canal,NA ,Tender,90.0,45.0,BARPALI,768029.0,NA ,NA ,NA ,"O/o SE,BARPALI IRR.DIVISION.BARPALI",No ,No,"17,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,17-Apr-2023 11:00 AM,28-Apr-2023 11:00 AM,17-Apr-2023 11:00 AM,27-Apr-2023 05:00 PM,NA ,NA ,17-Apr-2023 11:00 AM,27-Apr-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2122942,BIBHUTI BHUSAN DASH,26-Apr-2023 05:03 PM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,.pdf,"BID FEE,EMD,RC,PAN,GSTIN,AFFIDAVITS ETC AND OTHER DOCUMENT AS PER DTCN.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2124013,DHANPATI PADHAN,27-Apr-2023 10:22 AM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2123314,DIBYA KUMAR MAJHI,26-Apr-2023 05:08 PM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2121478,GANESH DASH,24-Apr-2023 06:46 PM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2117606,GOPAL BHOI,27-Apr-2023 04:29 AM,Accepted-AOC,Work Order,05-Aug-2023 05:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2118255,Monalisa Hota,21-Apr-2023 09:12 PM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2123627,PRATIMA PANDA,27-Apr-2023 05:51 AM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2123985,PRAVASINI CHAND,27-Apr-2023 08:53 AM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2121579,SAMRIT KUMAR CHAND,25-Apr-2023 12:51 PM,Rejected-Finance,Unsuccessful in Lottery,31-May-2023 03:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
