S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Superintending Engineer,"Superintending Engineer, Drainage division, BMC",Completion of Incomplete RCC Drain With In situ cover slab at Dhirukuti Basti From Babaji Dalia House To Jagannath Tutorial Near Mancheswar railway workshop road In ward No 11,Completion of Incomplete RCC Drain With In situ cover slab at Dhirukuti Basti From Babaji Dalia House To Jagannath Tutorial Near Mancheswar railway workshop road In ward No 11,As per DTCN ,NA ,"11,27,611",Civil Works - Others,NA ,Tender,120.0,90.0,BMC LIMITED AREA,751007.0,NA ,NA ,NA ,Superintending Engineer Chamber,No ,No,"6,000",0.0,Nil,Nil,No,27-Jun-2023 10:30 AM,11-Jul-2023 11:00 AM,27-Jun-2023 10:30 AM,10-Jul-2023 05:00 PM,NA ,NA ,27-Jun-2023 10:30 AM,10-Jul-2023 05:00 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-7/2023-24 dtd.23.06.2023,2023_ORULB_90048_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,276",Yes,percentage,1.0%,Nil,Nil,AOC,1,2175250,Akash Pradhan,10-Jul-2023 04:42 PM,Rejected-Finance,Other than 1st lowest,25-Aug-2023 12:23 PM,25-Aug-2023,"INR 1,395,780",90.0,Goutam Chandra Das,25-Aug-2023 12:31 PM,WO-289.23.pdf (295.00 KB),Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,25-Aug-2023 12:23 PM,finsummary_441989.pdf (109.58 KB),Finance,2 bid opened successfully.,Goutam Chandra Das,11-Jul-2023 02:58 PM,finance_441989.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,25-Aug-2023 12:17 PM,techsummary_441989.pdf (109.58 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_90048_6,BMC-EE-DD-7/2023-24 dtd.23.06.2023,Completion of Incomplete RCC Drain With In situ cover slab at Dhirukuti Basti From Babaji Dalia House To Jagannath Tutorial Near Mancheswar railway workshop road In ward No 11,1.0,2175262.0,SOURAV PRIYADARSHEE,INR,"1,395,780",AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2175262,SOURAV PRIYADARSHEE,10-Jul-2023 04:51 PM,Accepted-AOC,1st lowest,25-Aug-2023 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
