S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTN,PAN,RC,Affidavit for authenticity,Other documents as per DTCN","21,200",Yes,fixed,,Nil,Nil,"SE, M.I. Division Bhanjanagar","O/O SE, M.I. Division Bhanjanagar at Bhanjanagar",Imp. to Chandiagula MIP at Sanakodanda in Bhanjanagar Block under RRR Scheme,Imp. to Chandiagula MIP at Sanakodanda in Bhanjanagar Block under RRR Scheme in Ganjam District,Please refer Tender documents. ,NA ,"21,15,000",Civil Works - Others,NA ,Tender,90.0,240.0,Bhanjanagar,761126.0,NA ,NA ,NA ,"O/O SE, M.I. Division Bhanjanagar",No ,No,"6,000",0.0,Nil,Nil,No,11-Jul-2023 04:00 PM,20-Jul-2023 11:00 AM,11-Jul-2023 04:00 PM,19-Jul-2023 05:30 PM,NA ,NA ,11-Jul-2023 04:00 PM,19-Jul-2023 05:30 PM,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||EE,MI Divn, Bhanjanagar",SEMIDBNJ-01/2023-24,2023_CEMIB_90517_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1.0,2180614.0,DEVI PRASAD BEHERA,INR,"1,792,969","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||EE,MI Divn, Bhanjanagar",2023_CEMIB_90517_8,SEMIDBNJ-01/2023-24,Imp. to Chandiagula MIP at Sanakodanda in Bhanjanagar Block under RRR Scheme,Pradeep Kumar Panda,Internal,,PRADEEP KUMAR PANDA,28-Aug-2023 10:13 AM,techsummary_443600.pdf (161.60 KB),Pradeep Kumar Panda,Internal,,PRADEEP KUMAR PANDA,28-Aug-2023 10:37 AM,finsummary_443600.pdf (165.78 KB),Finance,all bidders are Addmitted,PRADEEP KUMAR PANDA,21-Jul-2023 10:58 PM,,BOQ Comparative Chart,28-Aug-2023,"INR 1,792,969.07",240.0,PRADEEP KUMAR PANDA,28-Aug-2023 10:46 AM,CHANDIAGULAMIP.pdf (587.00 KB),1,2180614,DEVI PRASAD BEHERA,19-Jul-2023 09:35 AM,Accepted-AOC,As per Lottery he is the 1st lowest tenderer is here by Accepted.,28-Aug-2023 10:49 AM,AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179442,MALAYA JENA,19-Jul-2023 04:10 AM,Rejected-AOC,Unsuccessful,28-Aug-2023 10:49 AM,AOC
