S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Superintending Engineer,"O/O the SE, Mech. Division, Hirakud",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar,SE/MDH-16-2023-24,2023_CEMWR_89868_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN,EPF,ESI AND ALL OTHER DOCUMENTS AS PER DTCN","Fabrication, Supply and Erection of 3Nos Scouring Sluice Gates and its accessories of Schoolpada Check Dam in Kuchinda Block under Superintending Engineer, Minor Irrigation Division, Sambalpur for the Year 2022-23","Fabrication, Supply and Erection of 3Nos Scouring Sluice Gates and its accessories of Schoolpada Check Dam in Kuchinda Block under Superintending Engineer, Minor Irrigation Division, Sambalpur for the Year 2022-23",Please refer Tender documents. ,NA ,"7,67,756",Mechanical Works,NA ,Tender,90.0,60.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/O the SE, Mech. Division, Hirakud",No ,No,"4,000",0.0,Nil,Nil,No,"7,700",No,fixed,,Nil,Nil,17-Jun-2023 10:00 AM,27-Jun-2023 11:00 AM,17-Jun-2023 10:00 AM,26-Jun-2023 05:30 PM,17-Jun-2023 10:00 AM ,26-Jun-2023 05:30 PM ,17-Jun-2023 10:00 AM,26-Jun-2023 05:30 PM,AOC,1,2167316,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",24-Jun-2023 01:38 PM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,05-Aug-2023,"INR 652,669",60.0,Niharkanti Mishra,04-Aug-2023 06:28 PM,AOC-16-3.pdf (1063.00 KB),"The 1st Lowest Bidder, M/S Babby Engg Works, Cuttack is awarded the contract","Jayanta Kumar Dey,SEM",Internal,,Niharkanti Mishra,04-Aug-2023 01:45 PM,finsummary_441396.pdf (383.12 KB),Finance,"Accepted Bids-19nos,Rejected Bids-Nill",Niharkanti Mishra,28-Jun-2023 07:15 PM,finance_441396.pdf,BOQ Comparative Chart,"Jayanta Kumar Dey,SEM",Internal,,Niharkanti Mishra,04-Aug-2023 01:41 PM,techsummary_441396.pdf (201.01 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar,2023_CEMWR_89868_1,SE/MDH-16-2023-24,"Fabrication, Supply and Erection of 3Nos Scouring Sluice Gates and its accessories of Schoolpada Check Dam in Kuchinda Block under Superintending Engineer, Minor Irrigation Division, Sambalpur for the Year 2022-23",1.0,2168826.0,Manashi Dash (Prop - M/s. Babby Engg. & Works),INR,"652,669",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2168418,BASUDEV PANIGRAHI,25-Jun-2023 08:06 PM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2166394,LAXMIDHRA BHUYAN,26-Jun-2023 12:38 PM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2168826,Manashi Dash (Prop - M/s. Babby Engg. & Works),26-Jun-2023 04:32 PM,Accepted-AOC,1st lowest bidder After the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2163981,M/S Abirvab Steel Product,24-Jun-2023 03:39 PM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2162241,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,26-Jun-2023 04:18 PM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2164756,M/S Ashreebad Fabricators,26-Jun-2023 11:39 AM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2163328,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,26-Jun-2023 04:03 PM,Rejected-AOC,2nd lowest bidder After the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2166115,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,24-Jun-2023 01:25 PM,Rejected-AOC,Not qualified in the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2167331,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",24-Jun-2023 03:59 PM,Rejected-AOC,3rd lowest bidder After the lottery process,04-Aug-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
