Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Construction of Drain Sadananda Mallick house towards Jena Sahi Chhak in ward No.16,under Devolution Funds 2021-22.","Construction of Drain Sadananda Mallick house towards Jena Sahi Chhak in ward No.16,under Devolution Funds 2021-22.",Please refer Tender documents. ,NA ,"3,89,500",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,"3,900",Yes,fixed,,Nil,Nil,Executive Officer,"Executive Officer, Bhadrak Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",Municipal Bodies||Bhadrak Municipality,BM-BDK-05-2022-23,2023_ORULB_87128_43,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Mar-2023 10:00 AM,04-Apr-2023 11:00 AM,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,NA ,NA ,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,AOC,Municipal Bodies||Bhadrak Municipality,2023_ORULB_87128_43,BM-BDK-05-2022-23,"Construction of Drain Sadananda Mallick house towards Jena Sahi Chhak in ward No.16,under Devolution Funds 2021-22.",Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,11-Aug-2023 05:46 PM,finsummary_431840.pdf (236.72 KB),Finance,ok,Debiprasad Rout,07-Apr-2023 12:30 PM,,BOQ Comparative Chart,1.0,2108818.0,Ashok Kumar Singh,INR,"389,500",11-Aug-2023,"INR 389,500",60.0,Pradip Kumar Saha,11-Aug-2023 05:47 PM,43.pdf (111.00 KB),work order issued,1,2108818,Ashok Kumar Singh,03-Apr-2023 01:25 PM,Accepted-AOC,Quoted first lowest,11-Aug-2023 05:48 PM,Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,11-Aug-2023 05:44 PM,techsummary_431840.pdf (236.72 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2109083,Rajesh Sethi,03-Apr-2023 04:51 PM,Rejected-AOC,Quoted second lowest,11-Aug-2023 05:48 PM,,,,,,,AOC
