EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"7,000",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,Executive Officer,"Rajgangpur Municipality, Dist-Sundargarh",Municipal Bodies||Rajgangpur Municipality,EO/RGP/01 of 2023-24,2023_ORULB_88991_41,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-May-2023 11:00 AM,29-May-2023 10:00 AM,17-May-2023 11:00 AM,28-May-2023 05:00 PM,NA ,NA ,17-May-2023 11:00 AM,28-May-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GST, PAN, Reg.-Renewal of Contractor license, Exp. and other document as per NIT",1,ICICI BANK,"Construction of Paver Block road with Drain near Japan Barua house towrdas Sitala Mandir road, W.No.05","Construction of Paver Block road with Drain near Japan Barua house towrdas Sitala Mandir road, W.No.05",Please refer Tender documents ,NA ,"7,00,000",Civil Works - Others,Construction of Paver Block road  ,Tender,90.0,90.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality,No ,No,AOC,23-Aug-2023,"INR 700,000",90.0,Gobinda Dansena,23-Aug-2023 02:15 PM,41.pdf (445.00 KB),1,2148058,REKHA DAS,26-May-2023 06:07 PM,Accepted-AOC,Selected,23-Aug-2023 02:16 PM,Madhuri Lugun,Internal,,Hajam Tudu,17-Aug-2023 04:48 PM,techsummary_437997.pdf (1293.95 KB),Madhuri Lugun,Internal,,Hajam Tudu,18-Aug-2023 04:05 PM,finsummary_437997.pdf (3354.71 KB),Municipal Bodies||Rajgangpur Municipality,2023_ORULB_88991_41,EO/RGP/01 of 2023-24,"Construction of Paver Block road with Drain near Japan Barua house towrdas Sitala Mandir road, W.No.05",1.0,2148058.0,REKHA DAS,INR,"700,000",Finance,Sucessfully opened,Hajam Tudu,17-Aug-2023 03:05 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2147954,SARASWATI SAHOO,26-May-2023 04:31 PM,Rejected-AOC,Rejected,23-Aug-2023 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
