Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Pipli NAC,PIPILI-NAC-3(31)/2022-23,2023_ORULB_85795_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regist. of licence, GST, Regd, PAN, Paper cost, Affidavit, Decl and otfer doc as per DTCN","Executive Officer, pipli NAC","Office of the Executive officer, Pipli NAC, Pipli,Puri-752104",06-Feb-2023 10:00 AM,17-Feb-2023 11:00 AM,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,NA ,NA ,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,Construction of CC Road from Main road to Raju Babu house Wno-13.,Construction of CC Road from Main road to Raju Babu house Wno-13.,Please refer tender document ,NA ,"4,23,776",Civil Works - Roads,NA ,Tender,90.0,30.0,"Pipli NAC, Ward No-13",752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC",No ,No,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,"4,300",No,fixed,,Nil,Nil,AOC,1,2079745,DAULAT KHAN,15-Feb-2023 05:23 PM,Accepted-AOC,as per quoted value,22-Aug-2023 06:22 PM,22-Aug-2023,"INR 423,761.88",30.0,POOJA ROUT,22-Aug-2023 06:19 PM,WORKORDER.pdf (181.00 KB),Chairperson,Internal,,POOJA ROUT,22-Aug-2023 06:11 PM,techsummary_427313.pdf (110.65 KB),Chairperson,Internal,Committee Head ChairPerson Pipli NAC Executive Officer Pipli NAC Municipal Engineer Accounts Officer Pipli Block Assistant Engineer Pipli Block Junior Engineer pipli NAC,POOJA ROUT,22-Aug-2023 06:15 PM,finsummary_427313.pdf (110.65 KB),Municipal Bodies||Pipli NAC,2023_ORULB_85795_10,PIPILI-NAC-3(31)/2022-23,Construction of CC Road from Main road to Raju Babu house Wno-13.,1.0,2079745.0,DAULAT KHAN,INR,"423,761.88",Finance,2 nos. of bidder have participated.DAULAT KHAN quoted rate is 0.00 percentage of estimated value and Mirza Nausad Alli Baig quoted rate is 2.00 percentage excess of estimated value.,POOJA ROUT,22-Aug-2023 06:09 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC,2,2080230,Mirza Nausad Alli Baig,16-Feb-2023 08:07 AM,Rejected-AOC,as per quoted value,22-Aug-2023 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
