Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,2023_OSCSC_87504_1,617_9,L-II Transport Contractor for Padmapur Block of Rayagada District for Biennial Year 2023-25,1.0,2113905.0,RAGHUNANDAN SAHU,INR,49.96,COLLECTOR,Mixed,,Rajkishor Panigrahy,26-Apr-2023 09:48 AM,26-Apr-2023 11:00 AM,techsummary_433092.pdf (482.46 KB),21-Aug-2023,"INR 3,059,858",587.0,Rajkishor Panigrahy,21-Aug-2023 05:17 PM,1407.pdf (880.00 KB),Selected and Appointed Sri Raghunandan Sahu,COLLECTOR,Mixed,ADMDLODSWORTOCSOcumDM,Rajkishor Panigrahy,21-Aug-2023 05:13 PM,finsummary_433092.pdf (466.33 KB),1,2113536,HARI KRISHNA RAO VAJRAPU,18-Apr-2023 07:20 PM,Rejected-Finance,L2 Bidder,21-Aug-2023 05:13 PM,Technical,2 Bidder are qualified for process of Price Bid.,Rajkishor Panigrahy,26-Apr-2023 08:54 AM,technical_433092.pdf,Finance,Selected L1 Bidder,Rajkishor Panigrahy,21-Aug-2023 05:06 PM,finance_433092.pdf,BOQ Comparative Chart,AOC,"CSO-cum-District Manager, OSCSC Ltd., Rayagada","Collectorate Campus, Rayagada, Dist.Rayagada, Odisha-765001",L-II Transport Contractor for Padmapur Block of Rayagada District for Biennial Year 2023-25,Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS),Please refer Tender documents. ,NA ,"30,59,858",Handling and Transportation,Transportation ,Tender,45.0,700.0,Padmapur Block of Rayagada District,765001.0,Rayagada ,"Meeting Hall of CSO-cum-District Manager, OSCSC Ltd., Rayagada  ",11-Apr-2023 11:00 AM ,"Collectorate, Rayagada",No ,No,1,ICICI BANK,"1,52,993",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical Bid,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,617_9,2023_OSCSC_87504_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,04-Apr-2023 05:00 PM,20-Apr-2023 11:00 AM,04-Apr-2023 05:00 PM,19-Apr-2023 05:30 PM,04-Apr-2023 05:00 PM ,10-Apr-2023 05:30 PM ,04-Apr-2023 05:00 PM,19-Apr-2023 05:30 PM,26-Apr-2023 11:00 AM,"5,900",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2113905,RAGHUNANDAN SAHU,17-Apr-2023 09:40 AM,Accepted-AOC,Appointed as LII TC,21-Aug-2023 05:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
