Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Opened,Sulagna Biswal,16-May-2023 03:29 PM,,BOQ Comparative Chart,1,2135034,AYUSH POWER INFRASTRUCTURE,09-May-2023 04:19 PM,Rejected-AOC,ok,24-Aug-2023 01:21 PM,Technical,Opened,Pradeep Kumar Mohanty,10-May-2023 12:08 PM,,S.E.Electrical Circle (RandB) Bhubaneswar,Internal,"A.E.E. S.E.E.C, A.E.E. G.E. Sub Div No.I,BBSR, P.A. to S.E.E.C(Rand B) Odisha, BBSR, Sr.DAO BBSR (Rand B) Div No.IV, E.E.BBSR (RandB) Div No.IV",Pradeep Kumar Mohanty,18-May-2023 11:40 AM,finsummary_435753.pdf (280.61 KB),24-Aug-2023,"INR 10,271,412",90.0,Pradeep Kumar Mohanty,24-Aug-2023 01:20 PM,AOC.pdf (717.00 KB),AOC,Superintending Engineer Electrical Circle (RandB) Bhubaneswar,Internal,"E.E. Bhubaneswar (RandB) Div No.IV, Sr.D.A.O. Bhubaneswar (RandB) Div No.IV, A.E.E. G.E. Sub-Div No.I, A.E.E. S.E.E.C and P.A. to S.E.E.C (RandB)",Pradeep Kumar Mohanty,12-May-2023 05:41 PM,16-May-2023 03:00 PM,techsummary_435753.pdf (295.93 KB),1.0,2134868.0,ISWAR CHANDRA PARIDA,INR,"10,271,412",EIC-CIVIL||SE R and B Electrical,2023_EICCL_88386_1,Bid Identification No.S.E.E.C (RandB) 02/2023-24,Shifting of 11 KV Line by laying of UG Cable with RMU of Feeder-1 and VSS Nagar from ARSS Chhowk to ODCL Chhowk due to construction of Railway over Bridge Bhubaneswar for the year 2022-2023,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN, GSTIN, Affidavit and Contractor Registration Certificate",25-Apr-2023 05:00 PM,10-May-2023 11:30 AM,25-Apr-2023 05:00 PM,09-May-2023 05:00 PM,25-Apr-2023 05:00 PM ,02-May-2023 05:00 PM ,25-Apr-2023 05:00 PM,09-May-2023 05:00 PM,16-May-2023 03:00 PM,"S.E. Electrical Circle (RandB) Odisha, Bhubaneswar","S.E. Electrical Circle (RandB) Odisha, Bhubaneswar, Nirman Soudha Building, Unit-V, 751001","10,000",0.0,Nil,Nil,No,Shifting of 11 KV Line by laying of UG Cable with RMU of Feeder-1 and VSS Nagar from ARSS Chhowk to ODCL Chhowk due to construction of Railway over Bridge Bhubaneswar for the year 2022-2023,Shifting of 11 KV Line by laying of UG Cable with RMU of Feeder-1 and VSS Nagar from ARSS Chhowk to ODCL Chhowk due to construction of Railway over Bridge Bhubaneswar for the year 2022-2023,Please refer Tender documents. ,NA ,"1,20,82,593",Electrical Works,NA ,Tender,90.0,90.0,Bhubaneswar,751007.0,NA ,NA ,NA ,"S.E. Electrical Circle (RandB) Odisha, Bhubaneswar",No ,No,EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 02/2023-24,2023_EICCL_88386_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,20,826",No,fixed,,Nil,Nil,AOC
,,,,,,2,2133280,GLORIOUS ENGINEERING AND ELECTRICALS,08-May-2023 11:33 AM,Rejected-Technical,Not fulfilled the criteria as per DTCN Clause No.11(a),12-May-2023 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,3,2134868,ISWAR CHANDRA PARIDA,09-May-2023 01:52 PM,Accepted-AOC,ok,24-Aug-2023 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
