Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Collector,Internal,DLO RTO DSWO CCSO,Mir Raja Ali,07-Jun-2023 01:37 PM,07-Jun-2023 04:15 PM,techsummary_439019.pdf (306.13 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir,2023_OSCSC_89278_1,2947/22.05.2023,Selection and appointment of Level-II Transport Contractor of Gudvella Block and Tusura NAC for the biennial 2023-25 of Balangir District,1.0,2154085.0,BISWANATH MEHER,INR,25.11,1,2154085,BISWANATH MEHER,06-Jun-2023 03:17 PM,Accepted-AOC,Lowest Bidder Selected for Appointment,08-Aug-2023 05:29 PM,Technical,Technical Bid Opened,Ashok Kumar Bag,07-Jun-2023 10:03 AM,,Finance,Financial Bid Opened,Ashok Kumar Bag,08-Aug-2023 04:55 PM,,BOQ Comparative Chart,Collector,Internal,RTO DLO DSWO CCSO,Ashok Kumar Bag,08-Aug-2023 05:08 PM,finsummary_439019.pdf (306.21 KB),08-Aug-2023,INR 25.11,570.0,Ashok Kumar Bag,08-Aug-2023 05:28 PM,3658.pdf (358.00 KB),AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir,2947/22.05.2023,2023_OSCSC_89278_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"1,11,230",No,fixed,,Nil,Nil,"District Manager, OSCSC Ltd., Balangir","CSO Office, Balangir",Selection and appointment of Level-II Transport Contractor of Gudvella Block and Tusura NAC for the biennial 2023-25 of Balangir District,Selection and appointment of Level-II Transport Contractor of Gudvella Block and Tusura NAC for the biennial 2023-25 of Balangir District,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,45.0,700.0,Balangir District,767001.0,"CSO Office, Balangir ","CSO Office, Balangir ",29-May-2023 09:00 AM ,"Conference Hall of Collectorate , Balangir",No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,ICICI BANK,"5,900",0.0,Nil,Nil,No,25-May-2023 10:00 AM,07-Jun-2023 09:00 AM,25-May-2023 10:00 AM,06-Jun-2023 05:00 PM,NA ,NA ,25-May-2023 10:00 AM,06-Jun-2023 05:00 PM,07-Jun-2023 04:15 PM,AOC
,,,,,,,,,,,,,,,,2,2155794,PRUTHWIRAJ TARIA,06-Jun-2023 04:30 PM,Rejected-Finance,Higher Bidder,08-Aug-2023 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Documents,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2154617,rejinameher,06-Jun-2023 04:19 PM,Rejected-Finance,Higher Bidder,08-Aug-2023 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2154475,SHYAM KUMAR AGRAWAL,06-Jun-2023 03:46 PM,Rejected-Finance,Higher Bidder,08-Aug-2023 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2155762,Sibananda Das,06-Jun-2023 04:10 PM,Rejected-Finance,Higher Bidder,08-Aug-2023 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
