Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Constn. of 6 Nos. F type Qtr. At-Champua P.S., Keonjhar",Building Work,Please refer Tender documents  ,NA ,"1,36,87,541",Civil Works - Buildings,NA ,Tender,90.0,300.0,Keonjhar,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",Orissa State Police Housing and Welfare Corporation Ltd,43/OPHWC/2022-23,2022_OSPHW_84152_13,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,13-Dec-2022 04:00 PM,28-Dec-2022 11:00 AM,13-Dec-2022 04:00 PM,27-Dec-2022 05:00 PM,13-Dec-2022 04:00 PM ,16-Dec-2022 05:00 PM ,13-Dec-2022 04:00 PM,27-Dec-2022 05:00 PM,10-Jan-2023 11:00 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,ICICI BANK,0.0,No,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,05-Aug-2023 01:59 PM,finsummary_420600.pdf (992.46 KB),Technical,2 NOS. OF BIDDERS PARTICIPATED,Bikram Keshari Malla,28-Dec-2022 04:28 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2022_OSPHW_84152_13,43/OPHWC/2022-23,"Constn. of 6 Nos. F type Qtr. At-Champua P.S., Keonjhar",1.0,2030091.0,RATNAKAR NAIK,INR,"12,796,482",05-Aug-2023,"INR 12,796,482",300.0,Bikram Keshari Malla,05-Aug-2023 02:00 PM,WORKEDY.pdf (613.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 03.02.2023,1.0,2030091.0,RATNAKAR NAIK,26-Dec-2022 09:40 PM,Accepted-AOC,QUALIFIED BIDDER,05-Aug-2023 02:01 PM,Finance,FINANCE BID OPENED,Bikram Keshari Malla,10-Jan-2023 11:09 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Bikram Keshari Malla,09-Jan-2023 05:51 PM,10-Jan-2023 11:00 AM,techsummary_420600.pdf (79.81 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2031008.0,SAILENDRA NARAYAN SWAIN,27-Dec-2022 04:56 PM,Rejected-Finance,DUE TO L1 BIDDER BUT L2 BIDDER SC BIDDER GET THE WORK AT L1 RATE,05-Aug-2023 01:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
