Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
CE JICA Project BLB Sukinda,2023_JICA_87070_3,ACEJPC 01/ 2022-23,"Construction of field channel work in Mantira Sub-Minor, Dudhajodi Sub-Minor I and II, Mangalpur Sub-Minor I and Mulakhamba Minor under Rengali Left Bank Canal System in Irrigation Block-A",Er. AJAYA KUMAR BISWAL,Internal,Er. MANORANJAN PRUSTY Er. MAYADHAR PARIDA Er. SUSANTA KUMAR SINGH,Susanta Kumar Singh,21-Aug-2023 05:46 PM,finsummary_431497.pdf (1641.67 KB),Technical,Only 27 Nos of Bidders are Participated.,Dipak Ranjan Behera,24-Apr-2023 08:35 PM,,Finance,27 Bids are submitted and all of the 27 are admitted,Dipak Ranjan Behera,10-Jul-2023 12:57 PM,finance_431497.pdf,BOQ Comparative Chart,21-Aug-2023,"INR 18,162,526.72",365.0,Susanta Kumar Singh,21-Aug-2023 05:51 PM,mantira3.pdf (779.00 KB),AGREEMENT NO. 03/2023-24,1.0,2113029.0,PRIYABRATA MOHAPATRA,INR,"18,162,526.72",Er Ajaya Kumar Biswal,Internal,"Er Manoranjan Pursty (EE), Er Mayadhar Parida(EE), Er Susanta Kumar Singh(AEE)",Susanta Kumar Singh,05-Jul-2023 05:45 PM,10-Jul-2023 11:00 AM,techsummary_431497.pdf (792.14 KB),1.0,3rd Corrigendum to ID No.ACEJPC 01/ 2022-23,"Basing on Order No 03 dt 13.04.2023 of the Hon ble High Court, Orissa, Cuttack.",24-Apr-2023 07:27 PM,Tender.pdf ,827.89,Technical Opening,1,2109508,ACHALESH BALIARSINGH,04-Apr-2023 05:14 PM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,20-Mar-2023 10:00 AM,13-Apr-2023 11:00 AM,20-Mar-2023 10:00 AM,12-Apr-2023 05:30 PM,20-Mar-2023 10:00 AM ,28-Mar-2023 05:30 PM ,20-Mar-2023 10:00 AM,12-Apr-2023 05:30 PM,10-Jul-2023 11:00 AM,"ACE,Jica Projects Circle","Sukinda,Jajpur",1.0,Fee/PreQual/Technical,.pdf,"Tender cost, EMD,PAN,GSTIN, Contractor Regd. Certificate, NRC and affidavit.","Construction of field channel work in Mantira Sub-Minor, Dudhajodi Sub-Minor I and II, Mangalpur Sub-Minor I and Mulakhamba Minor under Rengali Left Bank Canal System in Irrigation Block-A","Construction of field channel work in Mantira Sub-Minor, Dudhajodi Sub-Minor I and II, Mangalpur Sub-Minor I and Mulakhamba Minor under Rengali Left Bank Canal System in Irrigation Block-A",Please refer Tender documents. ,NA ,"2,13,65,165",Civil Works - Canal,NA ,Tender,120.0,12.0,Mantira,755018.0,NA ,NA ,NA ,"O/o the ACE,Jica Projects Circle,Sukinda",No ,No,"2,13,660",Yes,fixed,,Nil,Nil,1.0,2ND CORRIGENDUM TO ID NO.ACEJPC 01/ 2022-23,Date,,"10,000",Nil,Nil,No,1.0,ICICI BANK,CE JICA Project BLB Sukinda,ACEJPC 01/ 2022-23,2023_JICA_87070_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2109432,HARISHANKAR DIBYARANJAN AMARDEEP,04-Apr-2023 02:46 PM,Rejected-Finance,Not qualified for transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1st Corrigendum to ID No.ACEJPC 01/ 2022-23,Other,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2111979,KEDAR NAYAK,10-Apr-2023 10:22 PM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2112719,MALAYA RANJAN DALABEHERA,12-Apr-2023 08:31 AM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2109173,MITALI MAHAPATRA,03-Apr-2023 06:58 PM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2110974,M/S SANJAYA KUMAR BINAYAK,09-Apr-2023 06:40 PM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2112770,Nibas Routray,12-Apr-2023 10:53 AM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2108506,PRADYUMNA KUMAR MISHRA,02-Apr-2023 09:58 PM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2107611,Prativa Sahoo,12-Apr-2023 09:08 AM,Rejected-Finance,Not successful in transparent lottery.,21-Aug-2023 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2113029,PRIYABRATA MOHAPATRA,12-Apr-2023 02:40 PM,Accepted-AOC,Emerged as successful L1 bidder in transparent lottery.,21-Aug-2023 05:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
