Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Jagatsinghpur,1521/dt.19.04.2023,2023_OSCSC_88230_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"1,00,000",No,fixed,,Nil,Nil,21-Apr-2023 09:00 AM,09-May-2023 12:00 PM,21-Apr-2023 10:00 AM,08-May-2023 05:00 PM,21-Apr-2023 11:00 AM ,23-Apr-2023 09:00 AM ,21-Apr-2023 11:00 AM,08-May-2023 05:00 PM,18-May-2023 10:00 AM,"5,900",0.0,Nil,Nil,No,CSO-CUM-DM,"District Civil Supplies Office, Jagatsinghpur",1.0,Fee/PreQual/Technical,.pdf,NIT,Selection and appointment of Level-II Transport Contractor for the Year-2023-24 and 2024-25 (Jagatsinghpur MPLT),"Transportation of CMR from OSWC, Basantapur to Jagatsinghpur MPLT for the Year-2023-24 and 2024-25",Refer to tender document ,NA ,"6,35,567",Handling and Transportation,NA ,Tender,45.0,579.0,Jagatsinghpur (M),754103.0,"District Civil Supplies Office, Jagatsinghpur ","2nd Floor, Collectorate Building, Jagatsinghpur ",24-Apr-2023 09:00 AM ,"Sadbhabana Sabhagruha, Collectorate, Jagatsinghpur",No ,No,1.0,ICICI BANK,AOC,Technical,TWO NOS. OF TENDER PAPERS WERE RECEIVED AND SUBMITTED BEFORE THE TENDER COMMITTEE FOR VERIFICATION.,Sujata Mishra,16-May-2023 03:25 PM,,1.0,2131757.0,PRIYABASH SWAIN,07-May-2023 06:34 PM,Rejected-Finance,Quoted higher rate than the bidder Sarada Prasanna Mohapatra,29-Aug-2023 01:07 PM,Finance,Two nos. of BOQ in excel format quoted by the bidders were downloaded and submitted before the DLTC for necessary scrutiny,Sujata Mishra,29-Aug-2023 01:02 PM,,BOQ Comparative Chart,29-Aug-2023,INR 33.3,590.0,Sujata Mishra,29-Aug-2023 01:12 PM,Finalnegotiation.pdf (467.00 KB),The lowest one bidder has been awarded the rate through negotiation finalised by DLTC and the bidder agreed to work at the rate of 23.29 percentage of ASoR in Rs.33.30. The contract date is 18.08.2023,"Collector, Jagatsinghpur",External,"DSWO, Jagatsinghpur, DLO, Jagatsinghpur, RTO, Jagatsinghpur, CSOCUMDM, OSCSC Ltd., Jagatsinghpur",Sujata Mishra,29-Aug-2023 01:07 PM,finsummary_435248.pdf (467.21 KB),"COLLECTOR,JAGATSINGHPUR",External,"RTO,JAGATSINGHPUR,DLO,JAGATSINGHPUR,DSWO,JAGATSINGHPUR,CSO-CUM-DM,OSCSC LTD.JAGATSINGHPUR",Sujata Mishra,16-May-2023 03:32 PM,18-May-2023 10:00 AM,techsummary_435248.pdf (1020.79 KB),1.0,2130275.0,SARADA PRASANNA MOHAPATRA,INR,33.3,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Jagatsinghpur,2023_OSCSC_88230_1,1521/dt.19.04.2023,Selection and appointment of Level-II Transport Contractor for the Year-2023-24 and 2024-25 (Jagatsinghpur MPLT),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,2.0,2130275.0,SARADA PRASANNA MOHAPATRA,07-May-2023 08:45 PM,Accepted-AOC,"As per approval of H.O, Bhubaneswar letter No.11419 dt.03.08.2023",29-Aug-2023 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
