Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",2023_CELBB_87840_6,MND-01 OF 2023-24,Improvement to left bank service road of Disty. No. 8A of K. Canal from village Fugola to Jaganathpur between RD4.460Km to RD5.190KM for the year 2023-24,1.0,2122869.0,BALSRI K KUMAR AVIJIT,INR,"4,262,199",ER. SANJEEB KUMAR BEHERA,Internal,,Supriya Sahoo,05-May-2023 10:59 AM,06-May-2023 12:30 PM,techsummary_434032.pdf (451.16 KB),11-Aug-2023,"INR 4,262,199",270.0,Sanjeeb Kumar Behera,11-Aug-2023 07:48 PM,mnd16.pdf (710.00 KB),ER S.K. BEHERA,Internal,,Supriya Sahoo,17-Jun-2023 12:33 PM,finsummary_434032.pdf (469.10 KB),Finance,12 BIDDER PARTICIPATED,Supriya Sahoo,06-May-2023 04:24 PM,,BOQ Comparative Chart,1,2122869,BALSRI K KUMAR AVIJIT,26-Apr-2023 07:24 PM,Accepted-AOC,SELECTED IN LOTTERY,11-Aug-2023 07:48 PM,Technical,12 BIDDER PARTICIPATED,Supriya Sahoo,28-Apr-2023 05:37 PM,,AOC,"10,000",0.0,Nil,Nil,No,"SUPERINTENDING ENGINEER, MND-I, JAGATPUR","O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",Improvement to left bank service road of Disty. No. 8A of K. Canal from village Fugola to Jaganathpur between RD4.460Km to RD5.190KM for the year 2023-24,Improvement to left bank service road of Disty. No. 8A of K. Canal from village Fugola to Jaganathpur between RD4.460Km to RD5.190KM for the year 2023-24,Please refer Tender documents. ,NA ,"50,13,762",Civil Works - Others,NA ,Tender,90.0,270.0,KENDUPATANA,754021.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",No ,No,1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",MND-01 OF 2023-24,2023_CELBB_87840_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"50,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GSTIN,NRC,AFFIDAVIT, EMD,TENDER PAPER COST AND ALL OTHER DOCUMENTS AS PER DTCN.",13-Apr-2023 05:15 PM,28-Apr-2023 11:30 AM,13-Apr-2023 05:15 PM,27-Apr-2023 05:30 PM,13-Apr-2023 05:15 PM ,19-Apr-2023 05:30 PM ,13-Apr-2023 05:15 PM,27-Apr-2023 05:30 PM,06-May-2023 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2119909,KALINGA CONSTRUCTION,23-Apr-2023 12:14 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2121520,KAMALA KANTA SAHOO,25-Apr-2023 07:29 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2114631,LOKANATH ROUT,22-Apr-2023 12:25 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2124384,Nigamananda Sahoo,27-Apr-2023 01:12 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2124528,PATITAPABAN SWAIN,27-Apr-2023 02:04 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2123743,PRADYUMNA KUMAR MISHRA,27-Apr-2023 10:22 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2123300,PRIYABRATA DAS,26-Apr-2023 04:04 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2123124,SAURAV BISWAL,27-Apr-2023 01:23 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2124670,Subhasis Puhan,27-Apr-2023 04:02 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2118701,SURENDRANATH SAHOO,21-Apr-2023 03:26 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2119834,SUSANTA KUMAR PARIJA,23-Apr-2023 11:06 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,17-Jun-2023 12:33 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
