Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,2022_EICCL_83766_3,Bid Identification No-SE-RandB-JSG-19- OF 2022-23,Construction of Conference Hall (First floor) at (R AND B) Division Jharsuguda for the year 2022-23,1.0,2009462.0,RAJAT KUMAR SINGH,INR,"3,007,461",Superintending Engineer,Internal,AEE DAO-i,Shashanka Sekhar Dash,14-Aug-2023 11:23 AM,techsummary_418977.pdf (1036.66 KB),Finance,CS,Shashanka Sekhar Dash,27-Dec-2022 12:31 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,AEE DAO-1,Shashanka Sekhar Dash,14-Aug-2023 11:25 AM,finsummary_418977.pdf (1036.66 KB),14-Aug-2023,"INR 3,007,461",120.0,Shashanka Sekhar Dash,14-Aug-2023 11:26 AM,conferancehallpwr.pdf (1037.00 KB),AOC,1,2010035,DUKHANASAN KALO,12-Dec-2022 01:36 PM,Rejected-AOC,NOT IN FAVOUR,14-Aug-2023 11:28 AM,AOC,1.0,ICICI BANK,0.0,No,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,Bid Identification No-SE-RandB-JSG-19- OF 2022-23,2022_EICCL_83766_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC BOOK,TENDER COST,AFFIDAVIT,EMD,PAN, GSTN, LEASE AGREEMENT, MOU OF ELECTRICAL CONTRACTOR, BID SECU",Construction of Conference Hall (First floor) at (R AND B) Division Jharsuguda for the year 2022-23,Construction of Conference Hall (First floor) at (R AND B) Division Jharsuguda for the year 2022-23,Please refer Tender documents. ,NA ,"35,37,773",Civil Works - Buildings,NA ,Tender,90.0,120.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,O/O the SE Jharsuguda R and B Division,No ,No,SE Jharsuguda R and B Division,O/O the SE Jharsuguda R and B Division,30-Nov-2022 06:00 PM,13-Dec-2022 11:30 AM,30-Nov-2022 06:00 PM,12-Dec-2022 05:00 PM,30-Nov-2022 06:00 PM ,12-Dec-2022 05:00 PM ,30-Nov-2022 06:00 PM,12-Dec-2022 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010581,GOMATI TANTY,12-Dec-2022 03:33 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-AS FAILED TO SATISFY MINIMUM REQUIREMENT OF PLANT AND EQUIPMENTS,27-Dec-2022 12:31 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2009462,RAJAT KUMAR SINGH,11-Dec-2022 09:28 PM,Accepted-AOC,IN FAVOUR,14-Aug-2023 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2009199,SANJEEV KUMAR SAHARE,11-Dec-2022 05:44 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-AS FAILED TO SATISFY MINIMUM REQUIREMENT OF PLANT AND EQUIPMENTS,27-Dec-2022 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2003008,SISIRA SAHU,05-Dec-2022 03:35 PM,Rejected-AOC,NOT IN FAVOUR,14-Aug-2023 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
