S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,1.0,Other terms and condition,Technical Bid,,"2,000",0.0,Nil,Nil,No,"Executive Officer, Jaleswar Municipality","Executive Officer, Jaleswar Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Paper Cost, PAN, GST, Valid RC, Affidavit and other documents as per DTCN",02-May-2023 12:00 PM,17-May-2023 10:00 AM,02-May-2023 12:00 PM,16-May-2023 05:00 PM,NA ,NA ,02-May-2023 12:00 PM,16-May-2023 05:00 PM,Municipal Bodies||Jaleswar Municipal Council,JM_02_2023_24,2023_ORULB_88644_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,CONSTRUCTION OF C.C. ROAD FROM LAXMIDHAR PALEI HOUSE TO KANAGA SAHI IN WARD NO.08,CONSTRUCTION OF C.C. ROAD FROM LAXMIDHAR PALEI HOUSE TO KANAGA SAHI IN WARD NO.08,Please refer Tender documents. ,NA ,"4,15,254",Civil Works - Others,NA ,Tender,90.0,45.0,Jaleswar Municipality,756032.0,NA ,NA ,NA ,"Executive Officer, Jaleswar Municipality",No ,No,"4,153",Yes,percentage,1.0%,Nil,Nil,AOC,Chairman,Internal,EO ME JE,Susil Kumar Murmu,21-Aug-2023 11:05 AM,finsummary_436533.pdf (257.82 KB),Municipal Bodies||Jaleswar Municipal Council,2023_ORULB_88644_25,JM_02_2023_24,CONSTRUCTION OF C.C. ROAD FROM LAXMIDHAR PALEI HOUSE TO KANAGA SAHI IN WARD NO.08,1.0,2137893.0,PALLISHREE MOHANTY,INR,"415,254",Finance,tender opened successfully,Ajay Kumar Mohapatra,23-May-2023 01:34 PM,finance_436533.pdf,BOQ Comparative Chart,21-Aug-2023,"INR 415,254",45.0,Susil Kumar Murmu,21-Aug-2023 11:07 AM,w-25.pdf (222.00 KB),Awarded,1,2137606,AMARENDRA PRADHAN,14-May-2023 05:34 PM,Rejected-Finance,L2,21-Aug-2023 11:05 AM,Chairman,Internal,EO ME JE,Susil Kumar Murmu,18-Jul-2023 12:24 PM,techsummary_436533.pdf (751.21 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2137893,PALLISHREE MOHANTY,14-May-2023 02:19 PM,Accepted-AOC,L1 in lottery,21-Aug-2023 11:08 AM,,,,,,,AOC
