S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2150797.0,RAMA KRUSHNA MOHANTY,INR,"879,750","CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Chheligada Head Works Divn Mahendragada",2023_CEBMB_89044_5,SE-CHWD-01/2023-24,Protection to U/s side Right Bank of Sagada Stage-II system of Chheligada Irr. Project.,Superintending Engineer,Internal,,BIRENDRA KUMAR JAGAT,03-Aug-2023 04:47 PM,techsummary_438093.pdf (282.69 KB),Finance,Five bids downloaded successfully.,BIRENDRA KUMAR JAGAT,01-Jun-2023 12:21 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,,BIRENDRA KUMAR JAGAT,03-Aug-2023 04:52 PM,finsummary_438093.pdf (282.69 KB),10-Aug-2023,"INR 879,750",120.0,BIRENDRA KUMAR JAGAT,03-Aug-2023 04:53 PM,workorder05.pdf (324.00 KB),1,2145713,KAPILENDRA SAHU,24-May-2023 03:44 PM,Rejected-AOC,Unsuccessful in transparent lottery,03-Aug-2023 04:54 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, RC, GST, PAN, Affidavit, Other documents as per DTCN",18-May-2023 10:00 AM,01-Jun-2023 11:30 AM,18-May-2023 10:00 AM,30-May-2023 05:00 PM,18-May-2023 10:00 AM ,24-May-2023 05:00 PM ,18-May-2023 10:00 AM,30-May-2023 05:00 PM,"10,350",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"SE, Chheligada Head Works Division, Mahendragada","SE, Chheligada Head Works Division, Mahendragada, Gajapati",Protection to U/s side Right Bank of Sagada Stage-II system of Chheligada Irr. Project.,Protection work,Please refer Tender documents. ,NA ,"10,35,000",Civil Works - Others,NA ,Tender,90.0,180.0,Mahendragada,761017.0,NA ,NA ,NA ,"O/o S.E., Chheligada Head Works Divn., Mahendragad",No ,No,1.0,ICICI BANK,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Chheligada Head Works Divn Mahendragada",SE-CHWD-01/2023-24,2023_CEBMB_89044_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2150772,Manoj Kumar Panigrahy,30-May-2023 07:04 AM,Rejected-AOC,Unsuccessful in transparent lottery,03-Aug-2023 04:54 PM,AOC,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2150958,PRADEEP KUMAR SWAIN,30-May-2023 01:13 PM,Rejected-AOC,Unsuccessful in transparent lottery,03-Aug-2023 04:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2150797,RAMA KRUSHNA MOHANTY,30-May-2023 10:54 AM,Accepted-AOC,Qualified and responsive,03-Aug-2023 04:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2149239,SANTOSH PUJARI,28-May-2023 05:31 PM,Rejected-AOC,Unsuccessful in transparent lottery,03-Aug-2023 04:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
