Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requireme","1,20,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,CORRIGENDUM 1,Date,,Orissa Mining Corporation,NIT No. 02 /OMC/CIVIL/2023,2023_OMC_85174_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,11-Jan-2023 05:00 PM,02-Feb-2023 11:00 AM,11-Jan-2023 05:00 PM,01-Feb-2023 05:00 PM,NA ,NA ,11-Jan-2023 05:00 PM,01-Feb-2023 05:00 PM,23-Feb-2023 10:00 AM,Street lighting and illumination of Road from KIOM Main Gate to View Point including new parallel road and Quarry-1 Haul road of Kurmitar Iron Ore Mines in the district of Sundargarh.,Street lighting and illumination of Road from KIOM Main Gate to View Point including new parallel road and Quarry-1 Haul road of Kurmitar Iron Ore Mines in the district of Sundargarh.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"1,19,45,000",Electrical Works,NA ,Tender,90.0,180.0,KURMITAR,770044.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,"CGM(C), OMC Ltd., Bhubaneswar","Office of the CGM(C), OMC Ltd., Bhubaneswar",AOC,1.0,2061708.0,DIVINE ENTERPRISES,INR,"10,154,074.71",R K PANDA,Internal,S K BISWAL S JENA S P MEHER,Satyajit Jena,27-Apr-2023 12:47 PM,finsummary_424524.pdf (258.95 KB),Technical,33 (Thirty Three) bids has been received subjected to evaluation by committee,Durgamadhab Mallik,02-Feb-2023 06:55 PM,,A K PAL,Internal,RK DASH DEBENDU MOHAPATRA S R PATTNAIK L D BEHERA,Satyajit Jena,22-Feb-2023 08:30 PM,23-Feb-2023 10:00 AM,techsummary_424524.pdf (3602.75 KB),1,2066557,ABC CONSTRUCTIONS,31-Jan-2023 12:04 PM,Rejected-Finance,Not being L1 or L2,27-Apr-2023 12:47 PM,Finance,Financial bid of 31 (Thirty one) qualified bidders had been open out of 33 (Thirty three) bids,NIBEDITA SAHOO,23-Feb-2023 10:28 AM,,BOQ Comparative Chart,Orissa Mining Corporation,2023_OMC_85174_1,NIT No. 02 /OMC/CIVIL/2023,Street lighting and illumination of Road from KIOM Main Gate to View Point including new parallel road and Quarry-1 Haul road of Kurmitar Iron Ore Mines in the district of Sundargarh.,27-Apr-2023,"INR 10,154,074.71",180.0,Satyajit Jena,25-Aug-2023 02:41 PM,2023_OMC_85174_1.pdf (267.00 KB),Street lighting and illumination of Road from KIOM Main Gate to View Point including new parallel road and Quarry-1 Haul road of Kurmitar Iron Ore Mines in the district of Sundargarh.,AOC
2.0,Finance,.xls,FINANCIAL,,,,,,,2.0,ICICI NEFT/RTGS,2.0,CORRIGENDUM 2,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,2061333,ASPIRE CONSTRUCTION,25-Jan-2023 04:56 PM,Rejected-Finance,Not being L1 or L2,27-Apr-2023 12:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,2061226,DILLIP KUMAR ROUT,25-Jan-2023 03:37 PM,Rejected-Finance,Not being L1 or L2,27-Apr-2023 12:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4,2061708,DIVINE ENTERPRISES,27-Jan-2023 06:28 PM,Accepted-AOC,BEING L1,25-Aug-2023 02:41 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5,2066588,Fusion Power,31-Jan-2023 12:29 PM,Rejected-Technical,EMD EXEMPTION SUPPORTING DOCUMENTS NOT SUBMITTED,22-Feb-2023 08:30 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,6,2067266,Gayatri Agency,01-Feb-2023 02:55 PM,Rejected-Finance,Not being L1 or L2,27-Apr-2023 12:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,7,2060002,GREEN INNOVATIVE POWER PRIVATE LIMITED,24-Jan-2023 03:56 PM,Rejected-AOC,NOT BEING L1,25-Aug-2023 02:41 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,8,2060545,Jay Maa Engineering,24-Jan-2023 08:01 PM,Rejected-Finance,Not being L1 or L2,27-Apr-2023 12:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,9,2059320,JHADESWAR ELECTRICALS AND ERECTORS,23-Jan-2023 07:52 PM,Rejected-Finance,Not being L1 or L2,27-Apr-2023 12:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,10,2066745,JUPITER ENGINEERS,31-Jan-2023 01:55 PM,Rejected-Technical,ELBO LICENSE IS NOT IN NAME OF JV,22-Feb-2023 08:30 PM,,,,,,,,,,,,,,,,,,AOC
