Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
L-II Transport Contractor for Chandrapur Block of Rayagada District for Biennial Year 2023-25,Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS),Please refer Tender documents. ,NA ,"29,87,573",Handling and Transportation,Transportation ,Tender,45.0,700.0,Chandrapur Block of Rayagada District,765001.0,Rayagada ,"Meeting Hall of CSO-cum-District Manager, OSCSC Ltd., Rayagada  ",11-Apr-2023 11:00 AM ,"Collectorate, Rayagada",No ,No,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,617_13,2023_OSCSC_87513_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,04-Apr-2023 06:15 PM,20-Apr-2023 11:00 AM,04-Apr-2023 06:15 PM,19-Apr-2023 05:30 PM,04-Apr-2023 06:15 PM ,10-Apr-2023 05:30 PM ,04-Apr-2023 06:15 PM,19-Apr-2023 05:30 PM,26-Apr-2023 11:00 AM,1,ICICI BANK,"1,49,379",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,"CSO-cum-District Manager, OSCSC Ltd., Rayagada","Collectorate Campus, Rayagada, Dist.Rayagada, Odisha-765001",1,Fee/PreQual/Technical,.pdf,Technical Bid,AOC,Technical,2 Bidder are qualified for process of Price Bid.,Rajkishor Panigrahy,26-Apr-2023 08:47 AM,technical_433106.pdf,1,2113579,AKHYA KUMAR RANA,17-Apr-2023 01:50 PM,Accepted-AOC,Appointed LII TC,21-Aug-2023 06:24 PM,Finance,Selected L1 Bidder,Rajkishor Panigrahy,21-Aug-2023 06:13 PM,finance_433106.pdf,BOQ Comparative Chart,COLLECTOR,Mixed,ADMDLODSWORTOCSOcumDM,Rajkishor Panigrahy,21-Aug-2023 06:22 PM,finsummary_433106.pdf (296.78 KB),21-Aug-2023,"INR 2,987,573",587.0,Rajkishor Panigrahy,21-Aug-2023 06:23 PM,1285.pdf (1499.00 KB),Appointed Sri Akhya Kumar Rana,COLLECTOR,Mixed,,Rajkishor Panigrahy,26-Apr-2023 09:55 AM,26-Apr-2023 11:00 AM,techsummary_433106.pdf (482.46 KB),1.0,2113579.0,AKHYA KUMAR RANA,INR,63.33,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,2023_OSCSC_87513_1,617_13,L-II Transport Contractor for Chandrapur Block of Rayagada District for Biennial Year 2023-25,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,AOC,,,,,,2,2113529,M/s KASTUVA TRANSPORT AGENCY,18-Apr-2023 10:44 AM,Rejected-Finance,L2 Bidder,21-Aug-2023 06:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
