Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
EXECUTIVE ENGINEER,Internal,DAO AND AEE ESTIMATOR,Sangeeta Gamango,18-Jul-2023 11:27 AM,18-Jul-2023 11:30 AM,techsummary_438164.pdf (1451.07 KB),1.0,2151755.0,RAM KRUSHNA CHATRIYA,INR,"5,980,809",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,2023_EICCL_89077_3,SE RANDB 04/2023-24,"Construction of Compound wall 850 Rmt at E and F Block of RRTTSs OUAT, Jeypore for the year 2022-23.",1,2145632,ABHISHEK PATRA,25-May-2023 12:01 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,Technical,ATTACHED,Sangeeta Gamango,18-Jul-2023 11:05 AM,technical_438164.pdf,Finance,Attached,Sangeeta Gamango,18-Aug-2023 01:35 PM,finance_438164.pdf,BOQ Comparative Chart,18-Aug-2023,"INR 5,980,809",90.0,Sangeeta Gamango,29-Aug-2023 05:37 PM,WO_OUAT_Comp.pdf (1936.00 KB),Attached,Executive Engineer,Internal,DAO and AEE Estimator,Sangeeta Gamango,18-Aug-2023 01:52 PM,finsummary_438164.pdf (30.83 KB),AOC,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,SE RANDB 04/2023-24,2023_EICCL_89077_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"70,400",Yes,fixed,,Nil,Nil,"S.E , Jeypore R and B Division","O/O the S.E , Jeypore R and B Division, Jeypore","Construction of Compound wall 850 Rmt at E and F Block of RRTTSs OUAT, Jeypore for the year 2022-23.",CIVIL,Please refer Tender documents. ,NA ,"70,36,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Jeypore,764001.0,NA ,NA ,NA ,"O/O the S.E , Jeypore R and B Division",No ,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,20-May-2023 11:00 AM,05-Jun-2023 11:00 AM,20-May-2023 11:00 AM,03-Jun-2023 05:00 PM,20-May-2023 11:00 AM ,31-May-2023 05:00 PM ,20-May-2023 11:00 AM,03-Jun-2023 05:00 PM,18-Jul-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC",AOC
,,,,,,,,,,,,,,,,2,2152864,ANAND KUMAR MODI,02-Jun-2023 10:21 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,AOC
,,,,,,,,,,,,,,,,3,2151757,ASUTOSH PATRA,02-Jun-2023 08:10 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,4,2151758,Banoj kumar patra,02-Jun-2023 11:02 AM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2153232,BISHNU CHARAN NAYAK,03-Jun-2023 01:03 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2151405,KALPANA BHATRA,02-Jun-2023 01:12 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2153311,KELLA ESWAR RAO,03-Jun-2023 01:58 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2151378,K. MOULIDHAR,31-May-2023 01:01 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2153341,MAHENDRA DAS,03-Jun-2023 02:09 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2153518,MS KUNU ENTERPRISES PROP. PARSURAM JENA,03-Jun-2023 04:14 PM,Rejected-AOC,L2,29-Aug-2023 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
