S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,2127776.0,Biranchi Narayan panda,INR,"17,412,454",CE RW I||RWCIRCLE-BERHAMPUR,2023_CERWI_88151_2,Online Tender/03-2023-24/BPR,Improvement to Talasakara Antarapada road via Kanasuka and Goudia Baroda road in the District of Ganjam under Improvement to Existing RD roads for the year 2022-23,"P K Jena, CCE, RWC",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Lopamudra Dalai,08-May-2023 04:23 PM,12-May-2023 11:00 AM,techsummary_435010.pdf (642.57 KB),03-Aug-2023,"INR 17,412,454",180.0,Lopamudra Dalai,12-Aug-2023 02:18 PM,Talasakar.pdf (313.00 KB),"P K Jena, CCE, RWC",Internal,,Lopamudra Dalai,30-May-2023 01:34 PM,finsummary_435010.pdf (101.49 KB),1,2127776,Biranchi Narayan panda,02-May-2023 01:42 PM,Accepted-AOC,1st Lowest,12-Aug-2023 02:18 PM,Technical,Documents to be verified,Lopamudra Dalai,08-May-2023 04:19 PM,technical_435010.pdf,Finance,Documents to be verified,Lopamudra Dalai,12-May-2023 05:55 PM,finance_435010.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,"1,97,900",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/03-2023-24/BPR,2023_CERWI_88151_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to Talasakara Antarapada road via Kanasuka and Goudia Baroda road in the District of Ganjam under Improvement to Existing RD roads for the year 2022-23,Improvement to Talasakara Antarapada road via Kanasuka and Goudia Baroda road in the District of Ganjam under Improvement to Existing RD roads for the year 2022-23,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,180.0,Ganjam,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM",No ,No,19-Apr-2023 06:55 PM,03-May-2023 11:00 AM,19-Apr-2023 06:55 PM,02-May-2023 03:00 PM,19-Apr-2023 06:55 PM ,29-Apr-2023 02:00 PM ,19-Apr-2023 06:55 PM,02-May-2023 03:00 PM,12-May-2023 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN","Chief Construction Engineer, R.W.Circle, BAM","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2124191,Khadal Sethi,30-Apr-2023 01:40 PM,Rejected-Technical,DISQUALIFIED,08-May-2023 04:23 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2128124,Sanjeev Kumar Devata,02-May-2023 01:01 PM,Rejected-AOC,2nd Lowest,12-Aug-2023 02:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
