EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,81,270",Yes,percentage,1.0%,Nil,Nil,04-Mar-2023 01:30 PM,17-Mar-2023 11:30 AM,04-Mar-2023 01:30 PM,16-Mar-2023 05:00 PM,04-Mar-2023 01:30 PM ,15-Mar-2023 02:00 PM ,04-Mar-2023 01:30 PM,16-Mar-2023 05:00 PM,10-May-2023 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, GSTIN, PAN, Registration Certificate, Labor License",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Construction of Bridge over Aichipur Nallah at 0.300 km on iKadamba Andhari PS Road in the district of Jajpur under BSY for the year 2022-23,Construction of Bridge work under BSY,Please refer the tender documents ,NA ,"1,81,27,000",Civil Works - Bridges,NA ,Tender,90.0,360.0,Jajpur,755001.0,NA ,NA ,NA ,O/O the CCE RW Circle Kendrapara-Jajpur at Cuttack,No ,No,CCE RW Circle Kendrapara-Jajpur,O/O the CCE RW Circle Kendrapara-Jajpur at Cuttack,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-05/23,2023_CERWI_86704_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,02 nos bidder,Hiranmayee Nayak,24-May-2023 06:51 PM,,BOQ Comparative Chart,Technical,05 no of bidders have been participated,Hiranmayee Nayak,17-Mar-2023 01:25 PM,,1,2099578,ASISHA KUMAR SAMAL,16-Mar-2023 04:21 PM,Rejected-Finance,Disqualified,05-Aug-2023 05:06 PM,CCE RW Circle Kendrapara-Jajpur,Internal,,Durga Prasad Karan,05-Aug-2023 05:06 PM,finsummary_430425.pdf (354.67 KB),05-Aug-2023,"INR 16,152,185.36",360.0,Durga Prasad Karan,05-Aug-2023 05:08 PM,3671.pdf (81.00 KB),1st lowest,CCE RW Circle Kenderapara Jajpur,Internal,,Puspanjali Behera,06-May-2023 06:51 PM,10-May-2023 05:00 PM,techsummary_430425.pdf (653.96 KB),CE RW I||RWCIRCLE-KENDRAPARA,2023_CERWI_86704_3,Tender Online RCK-05/23,Construction of Bridge over Aichipur Nallah at 0.300 km on iKadamba Andhari PS Road in the district of Jajpur under BSY for the year 2022-23,1.0,2099307.0,UDAYABHANU PATI,INR,"16,152,185.36",AOC
,,,,,,,,,,,,,,,,,.pdf,"No Relationship , Affidavit of Correctness Certificate undertaking duly filled, all affidavits",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2099317,M/S RANJAN KUMAR BEHERA,16-Mar-2023 10:08 AM,Rejected-Technical,Disqualified due to in sufficient similar nature of work,06-May-2023 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"ATO , Work Experience Work in Hand, Machineries and required document as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2099335,M/S SIDHARTH KUMAR SAMAL,16-Mar-2023 11:13 AM,Rejected-Technical,Disqualified due to in sufficient similar nature of work,06-May-2023 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2099540,SAROJ KUMAR JENA,16-Mar-2023 03:13 PM,Rejected-Technical,Disqualified due to submission of fake machinerydocuments,06-May-2023 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2099307,UDAYABHANU PATI,16-Mar-2023 12:31 PM,Accepted-AOC,1st lowest bidder,05-Aug-2023 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
