S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2162527.0,DHANESWAR SAHU,INR,"37,900,729.86",CE RW I||RWCIRCLE-BHAWANIPATNA,2023_CERWI_89681_1,BPT/Online-03/2023-24,Construction of Bridge over Bairagi Nallah at 1.50Km. Sihinamunda to Ganiary road in the district of Nuapada.,RAJENDRA PRASAD ACHARYA,Internal,,Debendra Kumar Seth,12-Jul-2023 01:15 PM,12-Jul-2023 01:20 PM,techsummary_440469.pdf (466.22 KB),1.0,tender revocation,CORRIGENDUM,12-Jul-2023 01:00 PM,REVISEDQUALIFIED.pdf ,450.05,Technical Opening,15-Aug-2023,"INR 42,107,243.48",540.0,Pradeep Kisan,15-Aug-2023 12:55 PM,1201.pdf (797.00 KB),"RP Acharya, CCE",Internal,,Pradeep Kisan,15-Aug-2023 12:54 PM,finsummary_440469.pdf (796.58 KB),Finance,PRICE BID OPENED,Debendra Kumar Seth,12-Jul-2023 01:56 PM,,BOQ Comparative Chart,1,2160918,BIJAY KUMAR SAHU,18-Jun-2023 06:31 PM,Rejected-Finance,not selected lottery,15-Aug-2023 12:54 PM,Technical,5NOS. BIDDERS ARE PARTICIPATED,Debendra Kumar Seth,12-Jul-2023 01:14 PM,,AOC,Construction of Bridge over Bairagi Nallah at 1.50Km. Sihinamunda to Ganiary road in the district of Nuapada.,Construction of Bridge over Bairagi Nallah at 1.50Km. Sihinamunda to Ganiary road in the district of Nuapada.,Please refer Tender documents. ,NA ,"4,21,42,000",Civil Works - Bridges,NA ,Tender,90.0,540.0,NUAPADA/NUAPADA,766107.0,NA ,NA ,NA ,"O/O THE CCE RW CIRCLE, BHAWANIPATNA",No ,No,CE RW I||RWCIRCLE-BHAWANIPATNA,BPT/Online-03/2023-24,2023_CERWI_89681_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF CONSTRUCTION ENGINEER,"O/O THE CCE RW CIRCLE, BHAWANIPATNA",1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GST, PAN, RC, Affidavit correctness certificate and no relation certificate",1.0,ICICI BANK,"4,21,420",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,07-Jun-2023 09:00 AM,21-Jun-2023 11:00 AM,07-Jun-2023 09:00 AM,19-Jun-2023 05:00 PM,07-Jun-2023 09:00 AM ,17-Jun-2023 05:00 PM ,07-Jun-2023 09:00 AM,19-Jun-2023 05:00 PM,12-Jul-2023 01:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2162387,DEMANTI AGRAWAL,17-Jun-2023 06:39 PM,Rejected-Finance,not selected lottery,15-Aug-2023 12:54 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand, ATO, Similar nature of work, Machineries and other documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2162527,DHANESWAR SAHU,18-Jun-2023 10:24 PM,Accepted-AOC,not selected lottery,15-Aug-2023 12:56 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2161921,GOPAL CHANDRA SAHU,18-Jun-2023 06:25 PM,Rejected-Finance,not selected lottery,15-Aug-2023 12:54 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2163401,Raghunandan Agrawal,19-Jun-2023 03:39 PM,Rejected-Technical,Disqualified,12-Jul-2023 01:15 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
