Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
14-Aug-2023,"INR 863,907.98",60.0,Anil Kumar Rout,14-Aug-2023 07:21 PM,Salatara.pdf (301.00 KB),Award of Contract,Finance,2 Nos Bidders Participated,Anil Kumar Rout,13-Jul-2023 11:38 AM,,BOQ Comparative Chart,Sub-Collector Cum Chairman RMC Balugaon,Internal,"Executive Enginer OSAM Board, Junior Enginer OSAM Board, Secratary RMC Balugaon, Acountant RMC Balugaon.",Anil Kumar Rout,13-Jul-2023 12:10 PM,finsummary_442055.pdf (204.29 KB),1,2173313,ARATI BEHERA,06-Jul-2023 03:01 PM,Accepted-AOC,Award of Contract,14-Aug-2023 07:21 PM,1.0,2173313.0,ARATI BEHERA,INR,"863,907.98",Odisha State Agricultural Marketing Board||RMC Balugaon,2023_OSAMB_90081_1,01/2023-24,Construction of Concrete Drying Platform cum Thressing Floor at Salatara PACS of Bolagarh Block under RMC Balugaon,Sub-Collector Cum Chairman RMC Balugaon,Internal,"Executive Enginer OSAM Board, Junior Enginer OSAM Board, Secratary RMC Balugaon, Acountant RMC Balugaon.",Anil Kumar Rout,13-Jul-2023 11:49 AM,techsummary_442055.pdf (204.29 KB),AOC,"4,000",Nil,Nil,No,1,ICICI BANK,Construction of Concrete Drying Platform cum Thressing Floor at Salatara PACS of Bolagarh Block under RMC Balugaon,Construction of Concrete Drying Platform cum Thressing Floor at Salatara PACS of Bolagarh Block under RMC Balugaon,Please refer Tender documents. ,NA ,"8,63,994",Civil Works - Others,NA ,Rate Contract,60.0,60.0,Balugaon RMC,752030.0,NA ,NA ,NA ,Balugaon RMC,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, GSTN, PAN, Affidavit and other documents as per DTCN",27-Jun-2023 10:00 AM,07-Jul-2023 11:00 AM,27-Jun-2023 10:00 AM,06-Jul-2023 05:00 PM,27-Jun-2023 10:00 AM ,03-Jul-2023 05:00 PM ,27-Jun-2023 10:00 AM,06-Jul-2023 05:00 PM,"8,640",Yes,percentage,1.0%,Nil,Nil,Chairman RMC Balugaon,Sub Collector Khurda,Odisha State Agricultural Marketing Board||RMC Balugaon,01/2023-24,2023_OSAMB_90081_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,2,2173385,LAXMI NARAYAN ENTERPRISES,06-Jul-2023 04:22 PM,Rejected-Finance,L2 Rejected,13-Jul-2023 12:10 PM,,,,,,,,,,,,,,,,AOC,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
