Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Construction of daycare Sub Center at Podabalanda Sambalpur, for the year 2022-23",Building works,Please refer Tender documents. ,NA ,"40,82,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,RAIRAKHOL,768106.0,NA ,NA ,NA ,O/O SE RANDB DIV-I SBP,No ,No,21-Apr-2023 05:00 PM,04-May-2023 04:00 PM,21-Apr-2023 05:00 PM,04-May-2023 12:00 PM,21-Apr-2023 05:00 PM ,01-May-2023 05:00 PM ,21-Apr-2023 05:00 PM,04-May-2023 12:00 PM,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-SAMBALPUR,SE/R AND B/SBP/01/2023-24,2023_EICCL_87812_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of registration certificate, PAN, GSTIN, Cost of Bid online etc as per DTCN.",SE RANDB DIV-I SBP,O/O SE RANDB DIV-I SBP,"40,900",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,23-Aug-2023,"INR 3,469,612",180.0,Debasis Behera,23-Aug-2023 12:54 PM,Padabalanda.pdf (3735.00 KB),Ashok Kumar Lenka (SE),Internal,"A.K. Singh (DAO), D Behera (AEE)",Debasis Behera,23-Aug-2023 12:53 PM,finsummary_433897.pdf (3734.89 KB),Finance,BID OPENED,Arun Kumar Pattnaik,27-Jun-2023 11:47 AM,,BOQ Comparative Chart,1.0,2127224.0,DEBI PRASAD MOHARANA,01-May-2023 11:52 AM,Accepted-AOC,OK,23-Aug-2023 12:54 PM,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-SAMBALPUR,2023_EICCL_87812_1,SE/R AND B/SBP/01/2023-24,"Construction of daycare Sub Center at Podabalanda Sambalpur, for the year 2022-23",1.0,2127224.0,DEBI PRASAD MOHARANA,INR,"3,469,612",Ashok Kumar Lenka (SE),Internal,"A.K. Singh (DAO), D Behera (AEE)",Debasis Behera,23-Aug-2023 12:50 PM,techsummary_433897.pdf (3734.89 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"No relation certificate, affidavit etc as per DTCN.",,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantities.,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
