Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,BPM/02/2023-24,2023_ORULB_89441_98,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",1,ICICI BANK,Construction of BT road and drain from Dusmanta Naik house to Godampada Chowk in Ward No. 18,Construction of BT road and drain from Dusmanta Naik house to Godampada Chowk in Ward No. 18,Please refer Tender documents. ,NA ,"16,78,021",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"6,000",0.0,Nil,Nil,No,"16,780",Yes,fixed,,Nil,Nil,01-Jun-2023 10:00 AM,13-Jun-2023 10:00 AM,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,NA ,NA ,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,AOC,30-Aug-2023,"INR 1,673,489.24",30.0,Chinmaya Kumar Nayak,30-Aug-2023 06:08 PM,TENDERPROCEEDING.pdf (2453.00 KB),AWARDED,1,2158882,ROSHAN KUMAR NAIK (S.C),12-Jun-2023 12:53 PM,Accepted-AOC,AWARDED,30-Aug-2023 06:08 PM,CP,Internal,"JE,ME,EO,CP",Chinmaya Kumar Nayak,16-Jul-2023 09:43 PM,techsummary_439762.pdf (2452.55 KB),CP,Internal,"JE,ME,EO,STO,CP",Chinmaya Kumar Nayak,30-Aug-2023 06:07 PM,finsummary_439762.pdf (2452.55 KB),Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_89441_98,BPM/02/2023-24,Construction of BT road and drain from Dusmanta Naik house to Godampada Chowk in Ward No. 18,1.0,2158882.0,ROSHAN KUMAR NAIK (S.C),INR,"1,673,489.24",Finance,ACCEPTED,Chinmaya Kumar Nayak,16-Jul-2023 12:56 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2158898,SIBA SHANKAR GOPAL,12-Jun-2023 08:03 AM,Rejected-Finance,L2,30-Aug-2023 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
