Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh,IFB-CDO-cum-EO ZP BGH No.03 of 2022-23,2023_DZPBR_87137_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTN,PAN,affidavit, and others documents as per DTCN",Construction of SC building at Jhar,building works,reference tender documents ,NA ,"31,62,976",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sohela,768033.0,NA ,NA ,NA ,Zilla parishad Bargarh,No ,No,CDO-cum-EO ZP Bargah,Zilla parishad Bargarh,28-Mar-2023 11:00 AM,12-Apr-2023 11:00 AM,28-Mar-2023 11:00 AM,11-Apr-2023 05:00 PM,28-Mar-2023 11:00 AM ,11-Apr-2023 05:00 PM ,28-Mar-2023 11:00 AM,11-Apr-2023 05:00 PM,"31,700",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,1,ICICI BANK,AOC,1,2111887,MANAS RANJAN MISHRA,10-Apr-2023 10:57 PM,Rejected-AOC,unsuccessful bidder,31-Aug-2023 07:03 PM,31-Aug-2023,"INR 3,162,976.55",180.0,JAGAN DAS,31-Aug-2023 07:01 PM,Jhar.pdf (630.00 KB),Ruby Mohapatra successful bidder,CDO-cum-EO,Internal,"Addl EO(Tech),Programe manager(finance),AE NHM,JE NHM",JAGAN DAS,02-Aug-2023 12:31 PM,finsummary_431861.pdf (161.31 KB),Finance,tender open,JAGAN DAS,02-Aug-2023 12:15 PM,,BOQ Comparative Chart,CDO-cum-EO,Internal,"Addl EO(Tech),Programe manager(finance),AE NHM,JE NHM",JAGAN DAS,02-Aug-2023 12:19 PM,techsummary_431861.pdf (161.31 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh,2023_DZPBR_87137_9,IFB-CDO-cum-EO ZP BGH No.03 of 2022-23,Construction of SC building at Jhar,1.0,2112193.0,RUBY MAHAPATRA,INR,"316,297.55",AOC
,,,,,,,,,,,,,,,,.xls,Bill of qquantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,2,2112193,RUBY MAHAPATRA,11-Apr-2023 04:29 PM,Accepted-AOC,successful bidder,31-Aug-2023 07:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
