S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar","O/o the Superintending Engineer, Bhanjanagar Irrigation Division, Bhanjanagar,Ganjam, Pin No-761126",Renovation of Daha right distributary from RD 8800 M to 13500 M of Daha Irrigation Project.,Renovation of Daha right distributary from RD 8800 M to 13500 M of Daha Irrigation Project.,Please refer Tender documents. ,NA ,"4,85,012",Civil Works - Others,NA ,Tender,90.0,15.0,Bhanjanagar,761126.0,NA ,NA ,NA ,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar",No ,No,"2,000",0.0,Nil,Nil,No,"4,900",Yes,fixed,,Nil,Nil,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",e-procurement Notice No. e-BNID-06/2023-24,2023_CEBMB_89957_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,23-Jun-2023 10:00 AM,01-Jul-2023 11:00 AM,23-Jun-2023 10:00 AM,01-Jul-2023 10:00 AM,NA ,NA ,23-Jun-2023 10:00 AM,01-Jul-2023 10:00 AM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost,Valid Register License,PAN CARD,GSTIN,EMD,Affidavit,Other document as per DTCN.",AOC,1,2170962,PRIYANKA BEHERA,30-Jun-2023 09:53 PM,Rejected-AOC,2nd lowest bidder,02-Aug-2023 01:14 PM,02-Aug-2023,"INR 485,012",15.0,Gokula Chandra Padhi,02-Aug-2023 01:13 PM,AOC-155-01.PDF (120.00 KB),The date of commencement of the work is on dated 03.07.2023 and stipulated date of completion on dated 17.07.2023 vide Agreement No.122P1/2023-24.,Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,02-Aug-2023 01:11 PM,finsummary_441691.pdf (80.98 KB),Finance,Two (2) number of bidders are successful downloaded.,Lipi Bisoyi,01-Jul-2023 11:24 AM,,BOQ Comparative Chart,Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,02-Aug-2023 01:07 PM,techsummary_441691.pdf (88.35 KB),"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",2023_CEBMB_89957_1,e-procurement Notice No. e-BNID-06/2023-24,Renovation of Daha right distributary from RD 8800 M to 13500 M of Daha Irrigation Project.,1.0,2170964.0,Sudhira Kumar Behera,INR,"485,012",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,2,2170964,Sudhira Kumar Behera,30-Jun-2023 09:46 PM,Accepted-AOC,Awarded to the 1st lowest bidder.,02-Aug-2023 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
