Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
ALOK KUMAR NAIK,Internal,1-VINIT KUMAR DEHURY 2-BASANTA KUMAR DEHURY 3-UMESH CHANDRA BHOI,Alok Naik,24-Jun-2023 12:13 AM,26-Jun-2023 09:00 AM,techsummary_439408.pdf (438.82 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,2023_EICCL_89369_1,IFB-SE PWD BGH-06 OF 2023-24,Site development work for JMFC Bheden in the District of Bargarh for the year 2022-23.,1.0,2156346.0,ANIL KUMAR HOTA,INR,"4,206,992.73",Finance,Total no of 3 nos of bidder participated and all are accepted for Technical and Financial evaluation process.,Umesh Chandra Bhoi,01-Aug-2023 01:36 PM,,BOQ Comparative Chart,1,2156346,ANIL KUMAR HOTA,07-Jun-2023 11:19 AM,Accepted-AOC,WORK AWARDED FOR TRANSPORENT LOTERY SYSTEM,01-Aug-2023 01:47 PM,Technical,Total No. of 16 bidder participated and all are accepted for technical and Financial Evaluation process.,Alok Naik,23-Jun-2023 11:52 PM,technical_439408.pdf,ALOK KUMAR NAIK,Internal,1-VINIT KUMAR 2-BASANTA KUMAR DEHURY 3-UMESH CHANDRA BHOI,Umesh Chandra Bhoi,01-Aug-2023 01:41 PM,finsummary_439408.pdf (453.04 KB),01-Aug-2023,"INR 4,206,992.73",60.0,Alok Naik,01-Aug-2023 01:45 PM,AOCSiteDevelopment.pdf (453.00 KB),AOC,"49,488",Yes,fixed,,Nil,Nil,29-May-2023 11:00 AM,08-Jun-2023 11:30 AM,29-May-2023 11:00 AM,07-Jun-2023 05:00 PM,29-May-2023 11:00 AM ,07-Jun-2023 05:00 PM ,29-May-2023 11:00 AM,07-Jun-2023 05:00 PM,26-Jun-2023 09:00 AM,Site development work for JMFC Bheden in the District of Bargarh for the year 2022-23.,ROAD WORK,PLEASE REFER THE TENDER DOCUMENT ,NA ,"49,48,821",Civil Works - Roads,NA ,Tender,90.0,60.0,BHEDEN,768104.0,NA ,NA ,NA ,"O/O THE SE (R AND B) DIVISION, BARGARH",No ,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,IFB-SE PWD BGH-06 OF 2023-24,2023_EICCL_89369_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, Bid Declaration Form, GSTIN, PAN, EPF, ESI,RC, Affidavit and other doc as per DTCN","SE (R AND B) DIVISION, BARGARH","O/O THE SE (R AND B) DIVISION, BARGARH",1.0,ICICI BANK,1.0,1ST CORRIGENDUM,Other,,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2153614,ANJALI RATHA,05-Jun-2023 12:20 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2155970,BIJAYALAXMI SAHU,07-Jun-2023 12:30 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2156503,DEBANANDA BABU,07-Jun-2023 01:02 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2156756,Koripella peda Shrinivasu,07-Jun-2023 03:57 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2156732,MANMOHAN SWAIN,07-Jun-2023 03:38 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2156678,M/S Bishi Construction,07-Jun-2023 03:06 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2156544,"M/s. SHYAMJI ASSOCIATES, PROPRIETOR-ANJU AGRAWAL",07-Jun-2023 02:56 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2156572,NIROJ KUMAR MEHER,07-Jun-2023 01:51 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2156643,RABINDRA NATH SARAP,07-Jun-2023 03:04 PM,Rejected-AOC,transparent lottery system,01-Aug-2023 01:47 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
