Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of Drain and Road from Mairaj house towards Saikhji Kala house at Durgapur in ward No.29,under Devolution Funds 2021-22","Construction of Drain and Road from Mairaj house towards Saikhji Kala house at Durgapur in ward No.29,under Devolution Funds 2021-22",Please refer Tender documents. ,NA ,"2,21,000",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,24-Mar-2023 10:00 AM,04-Apr-2023 11:00 AM,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,NA ,NA ,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",Executive Officer,"Executive Officer, Bhadrak Municipality","2,000",0.0,Nil,Nil,No,1,ICICI BANK,"2,300",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhadrak Municipality,BM-BDK-05-2022-23,2023_ORULB_87128_119,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,05-Aug-2023 06:45 PM,techsummary_432115.pdf (236.72 KB),Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,05-Aug-2023 06:47 PM,finsummary_432115.pdf (236.72 KB),Finance,ok,Debiprasad Rout,10-Apr-2023 10:51 AM,,BOQ Comparative Chart,05-Aug-2023,"INR 221,000",60.0,Pradip Kumar Saha,05-Aug-2023 06:47 PM,119.pdf (1060.00 KB),work order issued,1,2109021,BIDYADHAR BEHERA,03-Apr-2023 03:36 PM,Rejected-AOC,Quoted second lowest,05-Aug-2023 06:48 PM,Municipal Bodies||Bhadrak Municipality,2023_ORULB_87128_119,BM-BDK-05-2022-23,"Construction of Drain and Road from Mairaj house towards Saikhji Kala house at Durgapur in ward No.29,under Devolution Funds 2021-22",1.0,2108494.0,Rajesh Kumar Nayak,INR,"221,000",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2108494,Rajesh Kumar Nayak,03-Apr-2023 02:40 PM,Accepted-AOC,Quoted first lowest,05-Aug-2023 06:48 PM,,,,,,,,,,AOC
