Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,Bid opening summary,SUDHIR SAHU,11-Jul-2023 12:14 PM,finance_437998.pdf,BOQ Comparative Chart,1,2145420,SEEMA VEDI,INR,"1,290,907","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",2023_CEBBU_89018_13,MDD-e-02/23-24,Providing coloured GCI sheet shed over roof top of the Block No.E-25 at Burla for the year 2023-24,Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, Estimator",SUDHIR SAHU,11-Jul-2023 12:19 PM,finsummary_437998.pdf (515.33 KB),Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, Estimator",SUDHIR SAHU,11-Jul-2023 12:16 PM,techsummary_437998.pdf (590.38 KB),1,2148179,Amar Amit Bishi,27-May-2023 11:46 AM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,11-Jul-2023,"INR 1,290,907",60.0,SUDHIR SAHU,10-Aug-2023 12:57 PM,Manojpanda_13.pdf (212.00 KB),AWARDING OF CONTRACT,AOC,Providing coloured GCI sheet shed over roof top of the Block No.E-25 at Burla for the year 2023-24,Providing coloured GCI sheet shed over roof top of the Block No.E-25 at Burla for the year 2023-24,Please refer Tender documents. ,NA ,"15,18,535",Civil Works - Others,NA ,Tender,90.0,60.0,BURLA,768017.0,NA ,NA ,NA ,"SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA",No ,No,"6,000",0.0,Nil,Nil,No,"15,200",Yes,fixed,,Nil,Nil,17-May-2023 10:00 AM,29-May-2023 11:00 AM,17-May-2023 10:00 AM,27-May-2023 05:00 PM,17-May-2023 10:00 AM ,26-May-2023 05:00 PM ,17-May-2023 10:00 AM,27-May-2023 05:00 PM,"SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA","O/O-SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA",1.0,Fee/PreQual/Technical/Finance,.pdf,"CONTRACTOR LICENCE, GST, PAN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",MDD-e-02/23-24,2023_CEBBU_89018_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,2,2147100,Amarendra Kumar Panda,INR,"1,290,907",,,,,,,,,,,,,,,,,2,2147100,Amarendra Kumar Panda,25-May-2023 09:16 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,3,2147188,MANOJ KUMAR PANDA,INR,"1,290,907",,,,,,,,,,,,,,,,,3,2147205,AMIT KUMAR BEHERA,26-May-2023 08:32 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2147205,AMIT KUMAR BEHERA,INR,"1,290,907",,,,,,,,,,,,,,,,,4,2148586,Kamal Bhoi,27-May-2023 04:29 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2147438,SURYA MANI GOCHHAYAT,INR,"1,290,907",,,,,,,,,,,,,,,,,5,2147188,MANOJ KUMAR PANDA,26-May-2023 07:56 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2147721,Niranjan Bisoi,INR,"1,290,907",,,,,,,,,,,,,,,,,6,2148582,Naresh Chandra Mishra,27-May-2023 04:13 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2148044,Swagatika Pradhan,INR,"1,290,907",,,,,,,,,,,,,,,,,7,2147721,Niranjan Bisoi,26-May-2023 06:27 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2148179,Amar Amit Bishi,INR,"1,290,907",,,,,,,,,,,,,,,,,8,2148533,Parameswar Das,27-May-2023 02:52 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2148322,SAMRAT PRADHAN,INR,"1,290,907",,,,,,,,,,,,,,,,,9,2148322,SAMRAT PRADHAN,27-May-2023 11:25 AM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2148533,Parameswar Das,INR,"1,290,907",,,,,,,,,,,,,,,,,10,2145420,SEEMA VEDI,24-May-2023 12:36 PM,Accepted-AOC,The Bidder has quoted 14.99 percent less on the tender amount,10-Aug-2023 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
