Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Ashok Kumar Lenka (SE),Internal,"A.K. Singh (DAO), D Behera (AEE)",Debasis Behera,23-Aug-2023 12:29 PM,techsummary_430245.pdf (275.42 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-SAMBALPUR,2023_EICCL_86608_1,SE/R AND B/SBP/47/2022-23,Construction of Block Level Mission Shakti Bhawan in Dhankauda Block of Sambalpur District for the year 2021-22.,1.0,2096477.0,Pratik Kumar Agrawal,INR,"3,659,220",1.0,2096372.0,ALLI VENKATESH,08-Mar-2023 07:04 PM,Rejected-AOC,Reject In Transparent Lottery.,23-Aug-2023 12:38 PM,23-Aug-2023,"INR 3,659,220",240.0,Debasis Behera,23-Aug-2023 12:37 PM,AOCMission.pdf (407.00 KB),Finance,Technical bids opened,Sambit keshari Nayak,10-Mar-2023 09:17 AM,,BOQ Comparative Chart,Ashok Kumar Lenka (SE),Internal,"A.K. Singh (DAO), D Behera (AEE)",Debasis Behera,23-Aug-2023 12:35 PM,finsummary_430245.pdf (335.76 KB),AOC,"SE R AND B DIV-I,SAMBALPUR","SE R AND B DIV-I,SAMBALPUR",Construction of Block Level Mission Shakti Bhawan in Dhankauda Block of Sambalpur District for the year 2021-22.,Building Works,Please refer Tender documents. ,NA ,"43,05,000",Civil Works - Buildings,NA ,Tender,90.0,240.0,Sambalpur,768001.0,NA ,NA ,NA ,"O/o SE R AND B DIV-I,SAMBALPUR",No ,No,"6,000",0.0,Nil,Nil,No,01-Mar-2023 09:00 AM,09-Mar-2023 12:30 PM,01-Mar-2023 09:00 AM,09-Mar-2023 11:00 AM,01-Mar-2023 09:00 AM ,06-Mar-2023 04:00 PM ,01-Mar-2023 09:00 AM,09-Mar-2023 11:00 AM,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-SAMBALPUR,SE/R AND B/SBP/47/2022-23,2023_EICCL_86608_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"COPY OF GSTIN,PAN,RC ETC.AS PER DTCN","43,500",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2.0,2096477.0,Pratik Kumar Agrawal,09-Mar-2023 10:56 AM,Accepted-AOC,Accept Through Transparent Lottery.,23-Aug-2023 12:38 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"COPY OF AFFIDAVIT , NO RELATION ETC. AS PER DTCN",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
