Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,11-Aug-2023 11:00 AM,techsummary_434814.pdf (109.61 KB),1,2128902,DEBASIS PRADHAN,03-May-2023 11:46 AM,Accepted-AOC,1st lowest,11-Aug-2023 11:05 AM,11-Aug-2023,"INR 5,389,010",90.0,Goutam Chandra Das,11-Aug-2023 11:04 AM,WO-31.23.pdf (322.00 KB),Finance,2 bids opened successfully,Goutam Chandra Das,04-May-2023 12:31 PM,finance_434814.pdf,BOQ Comparative Chart,1.0,2128902.0,DEBASIS PRADHAN,INR,"5,389,010",Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_88049_19,BMC-EE-DD-2/2023-24 dtd.17.04.2023,"Construction of RCC drain with cover slab from Plot no. 768 to Laxmisagar Pump House Chhak, Canal Road, Laxmisagar in Ward No-43",Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,11-Aug-2023 11:02 AM,finsummary_434814.pdf (109.61 KB),AOC,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,19-Apr-2023 10:30 AM,04-May-2023 11:00 AM,19-Apr-2023 10:30 AM,03-May-2023 05:00 PM,NA ,NA ,19-Apr-2023 10:30 AM,03-May-2023 05:00 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-2/2023-24 dtd.17.04.2023,2023_ORULB_88049_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of RCC drain with cover slab from Plot no. 768 to Laxmisagar Pump House Chhak, Canal Road, Laxmisagar in Ward No-43","Construction of RCC drain with cover slab from Plot no. 768 to Laxmisagar Pump House Chhak, Canal Road, Laxmisagar in Ward No-43",As per DTCN ,NA ,"43,53,630",Civil Works - Others,NA ,Tender,120.0,90.0,BMC AREA LIMITED,751007.0,NA ,NA ,NA ,Superintending Engineer Chamber,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"43,536",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer,"Superintending Engineer Drainage division, BMC",AOC
,,,,,,2,2128911,SUSOBHAN SAMANTARAY,03-May-2023 11:53 AM,Rejected-Finance,other than 1st lowest,11-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
