Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,2023_EICCL_90340_1,SE/R AND B/ SNPR / 06 / 2023-24,Construction of Revenue Quarter C Type for Sub-Collector at Birmaharajpur for the year 2023-24,1.0,2174708.0,SAMBHU PRASAD AGRAWALLA,INR,"6,620,169.26","D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Damodar Kaibartta,27-Jul-2023 10:59 AM,27-Jul-2023 11:10 AM,techsummary_442784.pdf (184.55 KB),"D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Manjit Singh,31-Aug-2023 11:51 AM,finsummary_442784.pdf (34.99 KB),31-Aug-2023,"INR 6,620,169.26",180.0,Manjit Singh,31-Aug-2023 11:52 AM,w.pdf (196.00 KB),Work Order,Finance,6 Nos bidders are participate and all are accepted,Damodar Kaibartta,27-Jul-2023 11:57 AM,,BOQ Comparative Chart,1,2180951,CHINKU MEHER,19-Jul-2023 01:03 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:53 AM,Technical,6 nos. bidders are participate and all are admitted,Damodar Kaibartta,20-Jul-2023 04:16 PM,technical_442784.pdf,AOC,Construction of Revenue Quarter C Type for Sub-Collector at Birmaharajpur for the year 2023-24,Construction of Revenue Quarter C Type for Sub-Collector at Birmaharajpur for the year 2023-24,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,180.0,Sonepur,767017.0,"O/O SE (RandB) Division, Sonepur ","O/O SE (RandB) Division, Sonepur ",17-Jul-2023 11:00 AM ,"O/O SE (RandB) Division, Sonepur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost (Online), EMD (online), GST Certificate, PAN Contractor RC",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,SE/R AND B/ SNPR / 06 / 2023-24,2023_EICCL_90340_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,05-Jul-2023 10:00 AM,20-Jul-2023 11:20 AM,05-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,05-Jul-2023 10:00 AM ,18-Jul-2023 03:00 PM ,05-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,27-Jul-2023 11:10 AM,Superintending Engineer,"O/O SE (RandB) Division, Sonepur","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"77,900",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179753,DEBASHIS RAUL,18-Jul-2023 12:32 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:53 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD / DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2174708,SAMBHU PRASAD AGRAWALLA,18-Jul-2023 08:17 PM,Accepted-AOC,Awarded for lottery system,31-Aug-2023 11:53 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2181040,SAMIR KUMAR THANAPATI,19-Jul-2023 01:37 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:53 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2179736,SATYANARAYAN PUROHIT,18-Jul-2023 01:33 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:53 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2180563,SRIKANTA PRADHAN,19-Jul-2023 07:00 AM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:53 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
