Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
24-Mar-2023 10:00 AM,04-Apr-2023 11:00 AM,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,NA ,NA ,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,"Construction and Laying of Drain Slab from Bairagi house towards Moahadev Temple in ward No.20,under Devolution Funds 2021-22","Construction and Laying of Drain Slab from Bairagi house towards Moahadev Temple in ward No.20,under Devolution Funds 2021-22",Please refer Tender documents. ,NA ,"1,12,800",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","1,200",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhadrak Municipality,BM-BDK-05-2022-23,2023_ORULB_87128_56,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,Executive Officer,"Executive Officer, Bhadrak Municipality",600.0,0.0,Nil,Nil,No,AOC,Municipal Bodies||Bhadrak Municipality,2023_ORULB_87128_56,BM-BDK-05-2022-23,"Construction and Laying of Drain Slab from Bairagi house towards Moahadev Temple in ward No.20,under Devolution Funds 2021-22",Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,07-Aug-2023 06:00 PM,finsummary_431876.pdf (236.72 KB),Finance,ok,Debiprasad Rout,07-Apr-2023 01:24 PM,,BOQ Comparative Chart,1.0,2108587.0,Rajesh Kumar Nayak,INR,"112,800",07-Aug-2023,"INR 112,800",60.0,Pradip Kumar Saha,07-Aug-2023 06:01 PM,56.pdf (1036.00 KB),work order issued,1,2108952,Nirmal Chandra Sethi,03-Apr-2023 03:14 PM,Rejected-AOC,Quoted second lowest,07-Aug-2023 06:01 PM,Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,07-Aug-2023 05:58 PM,techsummary_431876.pdf (236.72 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2108587,Rajesh Kumar Nayak,03-Apr-2023 04:40 PM,Accepted-AOC,Quoted first lowest,07-Aug-2023 06:01 PM,,,,,,,AOC
