Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Bhadrak Municipality,BM-BDK-05-2022-23,2023_ORULB_87128_122,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"Executive Officer, Bhadrak Municipality","11,200",Yes,fixed,,Nil,Nil,"Construction of Paver Road from Mohiba Chhak towards River Embakment at Durgapur in ward No.29,under Devolution Funds 2021-22.","Construction of Paver Road from Mohiba Chhak towards River Embakment at Durgapur in ward No.29,under Devolution Funds 2021-22.",Please refer Tender documents. ,NA ,"11,20,000",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","6,000",0.0,Nil,Nil,No,24-Mar-2023 10:00 AM,04-Apr-2023 11:00 AM,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,NA ,NA ,24-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,AOC,Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,05-Aug-2023 06:01 PM,techsummary_432118.pdf (236.72 KB),Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,05-Aug-2023 06:04 PM,finsummary_432118.pdf (236.72 KB),Finance,ok,Debiprasad Rout,10-Apr-2023 10:59 AM,,BOQ Comparative Chart,05-Aug-2023,"INR 1,092,000",60.0,Pradip Kumar Saha,05-Aug-2023 06:05 PM,122.pdf (1040.00 KB),work order issued,1.0,2108953.0,BIDYADHAR BEHERA,INR,"1,092,000",Municipal Bodies||Bhadrak Municipality,2023_ORULB_87128_122,BM-BDK-05-2022-23,"Construction of Paver Road from Mohiba Chhak towards River Embakment at Durgapur in ward No.29,under Devolution Funds 2021-22.",1,2108953,BIDYADHAR BEHERA,03-Apr-2023 03:06 PM,Accepted-AOC,Quoted first lowest,05-Aug-2023 06:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2108497,Rajesh Kumar Nayak,03-Apr-2023 02:46 PM,Rejected-AOC,Quoted second lowest,05-Aug-2023 06:06 PM,AOC
