object_id,mean_sex_ratio
21-370-03310,0.9650091900050642
21-370-03311,0.9650911814170918
21-370-03312,0.9649853739384944
21-370-03313,0.9651323741358862
21-370-03314,0.9651317552608972
21-370-03315,0.9637524459915798
21-370-03316,0.9650316862499204
21-370-03317,0.9678223651566674
21-370-03318,0.9654836500546574
21-370-03319,0.9655648527791478
21-370-03320,0.9660010995469728
21-370-03321,0.9662880101849656
21-371-03404,0.937445919291388
21-371-03405,0.9370961031557136
21-371-03406,0.9395271085580922
21-371-03407,0.9376836263023826
21-371-03408,0.9384900728959846
21-372-03558,0.9584763687393538
21-372-03559,0.9613131500990172
21-372-03560,0.9612653108699576
21-372-03561,0.9613098958992814
21-372-03562,0.96099094910144
21-372-03563,0.9613103974743962
21-372-03564,0.9589110144838764
21-372-03565,0.9607192645457706
21-372-03566,0.9603489807207624
21-373-03346,0.9578417258345188
21-373-03347,0.9570356617524128
21-373-03348,0.9593543982049446
21-374-03573,0.958345276868128
21-374-03574,0.9555941917931748
21-374-03575,0.9557384923844958
21-374-03576,0.9555692038023068
21-374-03577,0.9555797043867862
21-374-03578,0.9548906427014918
21-374-03579,0.955771536678438
21-374-03580,0.955575203921838
21-374-03581,0.9555972301947356
21-374-03582,0.9556953846558882
21-374-03583,0.9555710363862516
21-374-03584,0.9555701417295126
21-374-03585,0.958014549563854
21-374-03586,0.955600638916408
21-374-03587,0.9555697042686648
21-374-03588,0.9543620237413428
21-374-03589,0.9555718647336866
21-375-03443,0.9717761701219696
21-375-03444,0.9691181169556964
21-375-03445,0.9705343110375992
21-375-03446,0.968951038595383
21-375-03447,0.9695676997049156
21-375-03448,0.969518253388653
21-375-03449,0.9693529027883104
21-375-03450,0.9695217415908464
21-375-03451,0.969401369183308
21-375-03452,0.969519480579619
21-375-03453,0.9696787167520122
21-375-03454,0.969753709857178
21-375-03455,0.9677138172617488
21-376-03487,0.994189033399266
21-376-03488,0.9933902994990488
21-376-03489,0.9944690677180932
21-376-03490,0.9944660946230572
21-376-03491,0.992489792783684
21-376-03492,0.994461827952658
21-376-03493,0.9944703282442034
21-376-03494,0.9944666859494536
21-376-03495,0.9940040096162162
21-376-03496,0.9944664407143936
21-376-03497,0.994429406720285
21-376-03498,0.9933212385886632
21-376-03499,0.9944643059686994
21-376-03500,0.9943887926646796
21-376-03501,0.9944601048251966
21-376-03502,0.9922325491150572
21-376-03503,0.9943962537662546
21-376-03504,0.991650912518088
21-376-03505,0.9869478269820048
21-376-03506,0.9944677308417892
21-376-03507,0.9936538081277372
21-376-03508,0.9944448030032308
21-376-03509,0.9935334043452826
21-376-03510,0.9903474254891826
21-376-03511,0.9907164469304792
21-376-03512,0.9944683747191134
21-377-03298,0.9407721815012696
21-377-03299,0.9407714799325488
21-377-03300,0.9407708033014616
21-377-03301,0.9407712944779496
21-377-03302,0.9396642983044682
21-377-03303,0.9423152214825437
21-377-03304,0.9407888409749848
21-377-03305,0.94264482184987
21-377-03306,0.941870368527798
21-377-03307,0.9411299526059498
21-377-03308,0.9464300758605038
21-377-03309,0.9410740160285964
21-378-03322,0.965809261729945
21-378-03323,0.9664240873115916
21-378-03324,0.96652030252909
21-378-03325,0.9659273216024508
21-378-03326,0.9673595728916994
21-378-03327,0.9660005327443044
21-378-03328,0.966514170497722
21-379-03434,0.9956517240560716
21-379-03435,0.9879724065044136
21-379-03436,0.9951207052806584
21-379-03437,0.9957190707794664
21-379-03438,0.990865361092396
21-379-03439,0.9957301064272758
21-379-03440,0.9957284913249012
21-379-03441,0.9935328183793214
21-379-03442,0.9957282007085172
21-380-03386,0.9567685184694256
21-380-03387,0.9560112572261336
21-380-03388,0.9567687824495588
21-380-03389,0.9558115475211012
21-380-03390,0.96102569943742
21-380-03391,0.9567723249974656
21-380-03392,0.954929858005796
21-380-03393,0.9582805613218064
21-381-03332,0.9264356729040384
21-381-03333,0.9255208421969398
21-381-03334,0.9253441408604844
21-381-03335,0.925396046401403
21-381-03336,0.9254969778985708
21-381-03337,0.9264336805222048
21-381-03338,0.9258074215396032
21-381-03339,0.9277515023813544
21-381-03340,0.925498444338796
21-381-03341,0.9291143035959228
