Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2025_ORULB_112336_22,NAC/PLS-01/2025-26,Construction of Road from Tuna Das house to DudhustiPradhan house at Mathasahi in W. No - 6 NAC Polasara,Construction of Road from Tuna Das house to DudhustiPradhan house at Mathasahi in W. No - 6 NAC Polasara,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,11-Apr-2025 11:00 AM,NA ,90.0,No ,No,Online,30-Apr-2025 11:00 AM,Municipal Bodies||Polasara NAC,NAC AREA POLASARA,761105.0,1.0,"4,80,354",MINAKSHI LENKA,"480,307",Rejected-AOC,19-Jun-2025,Municipal Bodies||Polasara NAC
2025_STSCD_108953_10,ITDANBG-02/24-25,Construction of New 50 Seated PSH building at Gurusinga (PSH) under Jharigam Block,Construction of New 50 Seated PSH building at Gurusinga (PSH) under Jharigam Block,Works,Open Tender,Percentage,Civil Works - Buildings,No,No,NA ,03-Jan-2025 09:00 AM,NA ,90.0,No ,No,Online,22-Jan-2025 05:00 PM,ST and SC Development Deptt||ITDA Nabarangpur,Nabarangpur,764059.0,2.0,"1,66,61,911",Akbar Ali,"14,877,420",Rejected-AOC,01-Aug-2025,ST and SC Development Deptt||ITDA Nabarangpur
2025_ORULB_112435_16,BMC-EE-Tender Cell-02/2025-26 Dt. 10.04.2025,Side Development at Studio Square in ward no. 15,Side Development at Studio Square in ward no. 15,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,15-Apr-2025 04:00 PM,22-Apr-2025 12:30 PM ,120.0,No ,No,Online,29-Apr-2025 11:30 AM,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC Area,751002.0,1.0,"16,30,191",AKSHAYA KUMAR BARIK,"1,635,274",Rejected-Finance,04-Aug-2025,Municipal Bodies||Bhubaneswar Municipal Corporation
2025_ORULB_112336_36,NAC/PLS-01/2025-26,Construction of Road from KothaGhara to Mission Shakti Gruha at Kalambasahi in W. No - 18 NAC Polasara,Construction of Road from KothaGhara to Mission Shakti Gruha at Kalambasahi in W. No - 18 NAC Polasara,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,11-Apr-2025 11:00 AM,NA ,90.0,No ,No,Online,30-Apr-2025 11:00 AM,Municipal Bodies||Polasara NAC,NAC AREA POLASARA,761105.0,1.0,"9,93,558",Aditya Raj Pradhan,"993,362",Accepted-AOC,16-Aug-2025,Municipal Bodies||Polasara NAC
2024_EICCL_106131_3,SE RandB Divn No.I-BAM-12/2024-25,Construction of Paddy Procurement Center at Lanka.,Construction of Paddy Procurement Center at Lanka.,Works,Open Tender,Percentage,Civil Works - Buildings,No,No,NA ,28-Oct-2024 06:20 PM,NA ,90.0,No ,No,Online,08-Nov-2024 11:30 AM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,Berhampur,760005.0,2.0,"68,36,740",NITESH KUMAR SAHU,"5,811,913",Rejected-AOC,08-Aug-2025,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I
2025_CEMIB_112306_7,Bid Identification No.- 01 / MIDA / 2025-26,Repair And Improvement To Kandasar Check Dam Over Local Nallah Near Village Jhadapokhari In Harichandanpur Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Kandasar Check Dam Over Local Nallah Near Village Jhadapokhari In Harichandanpur Block Of Keonjhar District For The Year 2025-26,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,08-Apr-2025 10:00 AM,NA ,90.0,No ,No,Online,17-Apr-2025 05:00 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",HARICHANDANPUR,758020.0,1.0,"6,77,768",CHITTARANJAN RANA,"576,171",Rejected-Technical,08-Aug-2025,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur"
2025_CEMIB_112306_15,Bid Identification No.- 01 / MIDA / 2025-26,Repair And Improvement To Bataharichandanpur Check Dam Over Kukurkata Nallah Near Village Gadadharpur In Ghatgaon Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Bataharichandanpur Check Dam Over Kukurkata Nallah Near Village Gadadharpur In Ghatgaon Block Of Keonjhar District For The Year 2025-26,Works,Open Tender,Percentage,Civil Works - Others,No,No,NA ,08-Apr-2025 10:00 AM,NA ,90.0,No ,No,Online,17-Apr-2025 05:00 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",GHATAGAON,758020.0,1.0,"6,66,957",BHAGABAN BEHERA,"566,980.49",Rejected-Technical,10-Aug-2025,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur"
2025_CELBB_113941_66,e-Procurement Notice No.- 01 of 2025-26,"NID-66- M/R to Danapada Distributary and its System, Pandasahi Minor, Panchal Distributary Gandilo Distributary and Diwanpatana Minor.","M/R to Danapada Distributary and its System, Pandasahi Minor, Panchal Distributary Gandilo Distributary and Diwanpatana Minor.",Works,Open Tender,Percentage,Civil Works - Canal,No,No,NA ,02-Jun-2025 11:00 AM,NA ,90.0,No ,No,Online,16-Jun-2025 11:00 AM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",Nimapara,752106.0,1.0,"4,67,548",AKHAYA KUMAR MOHAPATRA,"397,462",Rejected-Finance,25-Aug-2025,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada"
2025_CERWI_111724_3,Online Tender/33-2024-25/BPR,Improvement to NH-5 to Humma Kantiagada road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25.,Improvement to NH-5 to Humma Kantiagada road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25.,Works,National Competitive Bid,Percentage,Civil Works - Roads,No,No,NA ,17-Mar-2025 06:55 PM,NA ,90.0,No ,No,Online,27-Mar-2025 11:00 AM,CE RW I||RWCIRCLE-BERHAMPUR,Ganjam,760011.0,2.0,"5,44,11,000",BISWAJIT PANDA,"46,253,994",Rejected-AOC,08-Aug-2025,CE RW I||RWCIRCLE-BERHAMPUR
2024_ORULB_107995_65,NLGN _01/2024-25,"Constr. Of Pucca Ghat at Udapada tank, W.No.13","Constr. Of Pucca Ghat at Udapada tank, W.No.13",Works,Open Tender,Percentage,Civil Works - Roads,No,No,NA ,09-Dec-2024 11:00 AM,NA ,90.0,No ,No,Online,18-Dec-2024 11:00 AM,Municipal Bodies||Nilgiri NAC,NILGIRI NAC,756040.0,1.0,"1,06,986",RAJKISHORE GAAN,"106,986",Rejected-AOC,04-Aug-2025,Municipal Bodies||Nilgiri NAC
