Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Engineer,Div-II","Bikash Bhawan,Jagannath Lane,Badambadi-753012","34,000",Yes,fixed,,Nil,Nil,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","7,080",0.0,Nil,Nil,No,26-Jul-2023 04:00 PM,09-Aug-2023 10:00 AM,26-Jul-2023 04:00 PM,05-Aug-2023 05:30 PM,NA ,NA ,26-Jul-2023 04:00 PM,05-Aug-2023 05:30 PM,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-II_No17/2023-24,2023_ORULB_90181_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Concrete Paver Block road from Chandan Rout res to Kailash Jen ares and from Prahallad Mallik res to Play Ground at Dahaliabag in Ward No.58.,Construction of Concrete Paver Block road from Chandan Rout res to Kailash Jen ares and from Prahallad Mallik res to Play Ground at Dahaliabag in Ward No.58.,Please refer Tender documents. ,NA ,"33,93,778",Civil Works - Others,NA ,Tender,135.0,120.0,CMC area,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,AOC,Executive Engineer,Internal,Deputy Executive Engineer,Dibya Ranjan Tripathy,16-Oct-2023 12:52 PM,techsummary_445417.pdf (71.46 KB),Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_90181_3,MC(CMC)CTC_Div-II_No17/2023-24,Construction of Concrete Paver Block road from Chandan Rout res to Kailash Jen ares and from Prahallad Mallik res to Play Ground at Dahaliabag in Ward No.58.,1.0,2192405.0,PRASANT KUMAR MAJHEE,INR,"3,393,777.95",1,2192405,PRASANT KUMAR MAJHEE,04-Aug-2023 11:12 AM,Accepted-AOC,Accepted,16-Oct-2023 12:56 PM,16-Oct-2023,"INR 3,393,777.95",120.0,Dibya Ranjan Tripathy,16-Oct-2023 12:55 PM,ret-16.pdf (118.00 KB),W.O.,Executive Engineer,Internal,Deputy Executive Engineer,Dibya Ranjan Tripathy,16-Oct-2023 12:54 PM,finsummary_445417.pdf (71.46 KB),Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Dibya Ranjan Tripathy,09-Aug-2023 11:49 AM,finance_445417.pdf,BOQ Comparative Chart,AOC
,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2194157,SUNMAYA MAJHEE,05-Aug-2023 12:11 PM,Rejected-AOC,Rejected,16-Oct-2023 12:56 PM,,,,,,,,,,,,,,,,,,,,AOC
