Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,Privatization of sanitation work including collection of Solid Waste from door to door in Ward No 1 to 22 of Khordha Municipality,Labour for Daily Street Sweeping Daily Door to Door Solid Waste Collection Daily Bush Cutting Market Area Cleaning Day and Night Cleaning Slum Area Cleaning and other wastage desludging of sanitation work a Spreading of disinfection Materials,Please refer Tender documents. ,NA ,"3,80,19,984",Miscellaneous Services,NA ,Tender,120.0,365.0,KHORDHA MUNICIPALITY,752055.0,COUNCIL HALL OF THE KHORDHA MUNICIPALITY ,"KHORDHA MUNICIPALITY, KHORDHA,PIN-752055 ",13-Jun-2023 10:00 AM ,KHORDHA MUNICIPALITY OFFICE,No ,No,"3,80,200",No,percentage,1.0%,Nil,Nil,1,ICICI BANK,"10,000",0.0,Nil,Nil,No,1,Privatization of Sanitation work.,Date,,07-Jun-2023 09:00 AM,07-Jul-2023 11:00 AM,07-Jun-2023 09:00 AM,05-Jul-2023 05:00 PM,NA ,NA ,07-Jun-2023 09:00 AM,05-Jul-2023 05:00 PM,01-Sep-2023 03:35 PM,1,Fee/PreQual/Technical,.pdf,"PAN CARD, GST CERTIFICATE, LABOUR LICENSE,EXPERIENCE CERTIFICATE,ETC AND OTHER DOCUMENTS AS PER DTCN",Municipal Bodies||Khordha Municipality,KMPLTY/ 03/2023-24,2023_ORULB_89654_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,AOC,Finance,ok,Punyatoya Badu,01-Sep-2023 03:40 PM,finance_440322.pdf,BOQ Comparative Chart,Technical,ok,Rizwana Kawkab,07-Jul-2023 11:46 AM,,1,2172143,BIPIN BIHARI DASH,04-Jul-2023 01:34 PM,Rejected-Finance,As per QCBS calculation lowest combined score,10-Oct-2023 11:53 AM,10-Oct-2023,"INR 35,639,933",365.0,Rizwana Kawkab,10-Oct-2023 11:55 AM,IMG_20231010_0001.pdf (599.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,10-Oct-2023 11:53 AM,finsummary_440322.pdf (375.98 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,01-Sep-2023 03:33 PM,01-Sep-2023 03:35 PM,techsummary_440322.pdf (275.86 KB),Municipal Bodies||Khordha Municipality,2023_ORULB_89654_1,KMPLTY/ 03/2023-24,Privatization of sanitation work including collection of Solid Waste from door to door in Ward No 1 to 22 of Khordha Municipality,1.0,2172773.0,SRI SURENDRA BARIK,INR,"35,639,933",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,2,Privatization of sanitation work,Financial Bid,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2172773,SRI SURENDRA BARIK,05-Jul-2023 03:59 PM,Accepted-AOC,As per QCBS calculation highest combined score,10-Oct-2023 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
