Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Laxman Mahanta,Internal,"Accountant,ME,EO,AEE PWd",Abhishek Panda,30-Aug-2023 05:10 PM,30-Aug-2023 05:15 PM,techsummary_448062.pdf (3164.24 KB),Finance,Open,Abhishek Panda,30-Aug-2023 06:00 PM,finance_448062.pdf,BOQ Comparative Chart,06-Oct-2023,"INR 902,593.69",45.0,Abhishek Panda,06-Oct-2023 06:11 PM,12w.pdf (223.00 KB),Contact value excluding GST,1,2211516,DURGA GOPE,22-Aug-2023 04:07 PM,Rejected-Finance,Second,06-Oct-2023 06:09 PM,1.0,2211445.0,MANGESWAR MAHANTA,INR,"902,593.69",Municipal Bodies||Barbil Municipality,2023_ORULB_92229_12,4/2023-24,"Improvement of road from J.B. Prasad house to Hariom house, Sriram Nagar, ward No.4",Technical,Open,Abhishek Panda,25-Aug-2023 01:03 PM,technical_448062.pdf,Laxman Mahanta,Internal,"AE,ME,EO",Abhishek Panda,06-Oct-2023 06:09 PM,finsummary_448062.pdf (410.93 KB),AOC,"4,000",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Tender Document as per Tender call Notice,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,1,ICICI BANK,Municipal Bodies||Barbil Municipality,4/2023-24,2023_ORULB_92229_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement of road from J.B. Prasad house to Hariom house, Sriram Nagar, ward No.4","Improvement of road from J.B. Prasad house to Hariom house, Sriram Nagar, ward No.4",Please refer Tender documents. ,NA ,"9,27,000",Civil Works - Roads,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municiplaity Office,No ,No,"9,270",Yes,percentage,1.0%,Nil,Nil,14-Aug-2023 10:00 AM,25-Aug-2023 11:00 AM,14-Aug-2023 10:00 AM,24-Aug-2023 05:00 PM,NA ,NA ,14-Aug-2023 10:00 AM,24-Aug-2023 05:00 PM,30-Aug-2023 05:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,2,2211445,MANGESWAR MAHANTA,22-Aug-2023 01:58 PM,Accepted-AOC,Lowest,06-Oct-2023 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,Finance,.xls,BOQ,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
