S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,2163674.0,krishna ch panda,INR,"242,783",Municipal Bodies||Rayagada Municipality,2023_ORULB_89292_4,RGDA-MUN-02/2023-24,Improvement of road with factory made CC interlocking paver block at Bhagat Sahi in W.No-07,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,08-Oct-2023 11:53 PM,techsummary_439162.pdf (47.99 KB),08-Oct-2023,"INR 242,783",30.0,Bulu Sethy,09-Oct-2023 12:00 AM,doc.pdf (1778.00 KB),Finance,All Bids Opened,BIKRAMADITYA MOHAPATRA,25-Jul-2023 11:32 PM,finance_439162.pdf,BOQ Comparative Chart,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,08-Oct-2023 11:58 PM,finsummary_439162.pdf (47.99 KB),1,2163953,ABHIMANYU NAIK,22-Jun-2023 11:47 AM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,"Executive Officer, Rayagada Municipality","Executive Officer, Rayagada Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"CDMS License,BDC,PAN,GSTIN,Paper Cost,EMD,Caste Certificate,Affidavit,Bank A/C as per DTCN",29-May-2023 11:30 AM,27-Jun-2023 11:30 AM,29-May-2023 11:30 AM,22-Jun-2023 05:30 PM,29-May-2023 11:30 AM ,21-Jun-2023 05:30 PM ,29-May-2023 11:30 AM,22-Jun-2023 05:30 PM,Improvement of road with factory made CC interlocking paver block at Bhagat Sahi in W.No-07,Improvement of road with factory made CC interlocking paver block at Bhagat Sahi in W.No-07,Please refer Tender documents. ,NA ,"2,85,593",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,"2,000",0.0,Nil,Nil,No,"2,855",Yes,fixed,,Nil,Nil,Municipal Bodies||Rayagada Municipality,RGDA-MUN-02/2023-24,2023_ORULB_89292_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2160478,ASHOK NAIR,15-Jun-2023 10:59 AM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2166139,BASANTA PRADHAN,22-Jun-2023 04:59 PM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2163437,HIKAKA SUBASH,21-Jun-2023 11:45 PM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2163674,krishna ch panda,19-Jun-2023 06:00 PM,Accepted-AOC,Awarded,09-Oct-2023 12:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2161729,NANDA KISHOR PRASAD CHOURASIA,19-Jun-2023 05:20 PM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2163543,PRADEEPTA DASH,22-Jun-2023 10:50 AM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2164479,RABI NARAYAN MISHRA,20-Jun-2023 07:05 PM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2161442,RAJ KUMAR CHOURASIA,21-Jun-2023 12:52 PM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2163039,RASMITA SAHUKAR,19-Jun-2023 08:46 AM,Rejected-Finance,Not-qualified in the lottery system,08-Oct-2023 11:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
