Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Construction of Kitchen and Dining for Security barrack along with 04 nos. H.P culverts at Kodingamali bauxite mines in the district of Koraput,Construction of Kitchen and Dining for Security barrack along with 04 nos. H.P culverts at Kodingamali bauxite mines in the district of Koraput,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements ",NA ,"97,16,000",Civil Works - Others,NA ,Tender,90.0,180.0,KODINGAMALI,765013.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,1,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ","97,200",Yes,fixed,,Nil,Nil,07-Jan-2023 05:00 PM,24-Jan-2023 11:00 AM,07-Jan-2023 05:00 PM,21-Jan-2023 05:00 PM,NA ,NA ,07-Jan-2023 05:00 PM,21-Jan-2023 05:00 PM,24-Feb-2023 03:00 PM,"CGM(C), OMC Ltd., Bhubaneswar","Office of the CGM(C), OMC Ltd., Bhubaneswar",1,ICICI BANK,Orissa Mining Corporation,NIT No. 01/OMC/CIVIL/2023,2023_OMC_85025_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,AOC,Orissa Mining Corporation,2023_OMC_85025_2,NIT No. 01/OMC/CIVIL/2023,Construction of Kitchen and Dining for Security barrack along with 04 nos. H.P culverts at Kodingamali bauxite mines in the district of Koraput,09-Oct-2023,"INR 9,705,836.17",180.0,Satyajit Jena,11-Oct-2023 09:54 AM,2023_OMC_85025_2.pdf (4683.00 KB),Construction of Kitchen and Dining for Security barrack along with 04 nos. H.P culverts at Kodingamali bauxite mines in the district of Koraput,1.0,2057991.0,BIDYADHAR NAIK,INR,"9,705,836.17",R K PANDA,Internal,P K MISHRA S K BISWAL S P MEHER,Satyajit Jena,09-Oct-2023 05:33 PM,finsummary_424182.pdf (2350.52 KB),Technical,2nd time single tender received subjected to evaluation by committee and approval of MD,Durgamadhab Mallik,24-Jan-2023 07:52 PM,,SABYASACHI MOHANTY,Internal,L D BEHERA P K MISHRA,Durgamadhab Mallik,24-Feb-2023 01:45 PM,24-Feb-2023 03:00 PM,techsummary_424182.pdf (339.00 KB),1.0,2057991.0,BIDYADHAR NAIK,21-Jan-2023 01:41 PM,Accepted-AOC,L1,11-Oct-2023 09:54 AM,Finance,Financial bid of 01 (One) qualified bidders had been open out of 01 (One) bids.2nd time single tender .,Durgamadhab Mallik,24-Feb-2023 03:35 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
