Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
"Collector, BLS",Internal,"PA, AEE, JE",RATIKANTA MADHEI,18-Oct-2023 03:19 PM,techsummary_447141.pdf,ST and SC Development Deptt||ITDA NILGIRI,2023_STSCD_92049_2,ITDANGR-02/2023-24,"Construction of 100 seated(Boys) Composite Urban Modern Hostel in Nilgiri College, Nilgiri",Finance,All Documents Download,RATIKANTA MADHEI,30-Sep-2023 02:13 PM,finance_447141.pdf,"Collector, BLS",Internal,"PA, AEE, JE",RATIKANTA MADHEI,18-Oct-2023 04:02 PM,finsummary_447141.pdf,18-Oct-2023,"INR 20,207,721.854",270.0,RATIKANTA MADHEI,18-Oct-2023 04:29 PM,Lottery-2.pdf,AOC,AOC,"PA, ITDA, Nilgiri",AT/PO-NILGIRI,"Construction of 100 seated(Boys) Composite Urban Modern Hostel in Nilgiri College, Nilgiri","Construction of 100 seated(Boys) Composite Urban Modern Hostel in Nilgiri College, Nilgiri",B and A  ,NA ,"2,37,70,994",Civil Works - Buildings,NA ,Tender,90.0,270.0,Nilgiri,756040.0,NA ,NA ,NA ,"ITDA, Nilgiri",No ,No,ST and SC Development Deptt||ITDA NILGIRI,ITDANGR-02/2023-24,2023_STSCD_92049_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"2,37,710",Yes,fixed,,Nil,Nil,11-Aug-2023 10:00 AM,23-Aug-2023 11:00 AM,11-Aug-2023 10:00 AM,22-Aug-2023 05:00 PM,NA ,NA ,11-Aug-2023 10:00 AM,22-Aug-2023 05:00 PM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, PAN Card, GSTIN Reg. Certificate ETC.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
