Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Executive Officer,NAC Junagarh","NAC Office Junagarh Kalahandi,Odisha Pin-766014",1.0,Fee/PreQual/Technical/Finance,.pdf,"GST Certificate,PAN,Affidavit,Cost of Tender Paper,EMD and other documents as per DTCN",Municipal Bodies||Junagarh NAC,JUNAGARH/NAC/02/2022-23,2023_ORULB_86467_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Feb-2023 10:00 AM,09-Mar-2023 11:00 AM,24-Feb-2023 10:00 AM,06-Mar-2023 05:00 PM,NA ,NA ,24-Feb-2023 10:00 AM,06-Mar-2023 05:00 PM,"16,891",Yes,percentage,1.0%,Nil,Nil,"Construction of Road,Culvert and Drain with Cover Slab from Lingaraj Lodge to Banjibandha via Sanubag house in Ward No.10 and 11","Construction of Road,Culvert and Drain with Cover Slab from Lingaraj Lodge to Banjibandha via Sanubag house in Ward No.10 and 11",Please refer Tender documents. ,NA ,"16,89,119",Civil Works - Others,NA ,Tender,90.0,90.0,WARD NO 10 11,766014.0,NA ,NA ,NA ,O/o-NAC Junagarh,No ,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,AOC,25-Sep-2023,"INR 1,685,703.726",90.0,Premlal Hial,10-Oct-2023 10:59 PM,jng.pdf (226.00 KB),As per the tender committee.,1,2095679,GOLAP SINGH THAKUR,06-Mar-2023 10:57 AM,Rejected-Finance,As per the tender committee.,24-Sep-2023 09:44 PM,CHAIRPERSON NAC JUNAGARH,Internal,,Premlal Hial,24-Sep-2023 05:29 PM,techsummary_429834.pdf (448.41 KB),Municipal Bodies||Junagarh NAC,2023_ORULB_86467_18,JUNAGARH/NAC/02/2022-23,"Construction of Road,Culvert and Drain with Cover Slab from Lingaraj Lodge to Banjibandha via Sanubag house in Ward No.10 and 11",As per the tender committee.,Internal,,Bira Singh Biroli,24-Sep-2023 09:44 PM,finsummary_429834.pdf (448.65 KB),Finance,ok,Biswambhar Mishra,09-Mar-2023 05:22 PM,,BOQ Comparative Chart,1.0,2095683.0,RAMESH PRASAD KAND,INR,"1,685,703.726",AOC
,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,2,2095683,RAMESH PRASAD KAND,06-Mar-2023 11:25 AM,Accepted-AOC,L1,10-Oct-2023 10:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
