Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
06-Jul-2023 01:40 PM,20-Jul-2023 11:30 AM,06-Jul-2023 01:40 PM,19-Jul-2023 05:00 PM,NA ,NA ,06-Jul-2023 01:40 PM,19-Jul-2023 05:00 PM,Odisha Tourism Devl. Corp.,BP -I/02/2023-24Dt.21.06.2023,2023_OTDC_90420_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"41,170",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert","6,000","1,080",Nil,Nil,No,Renovation and Upgradation of Way Side Amenity Centre at Sathipur in Jajpur Dist.,Renovation and Upgradation of Way Side Amenity Centre at Sathipur in Jajpur Dist.,Please refer Tender documents. ,NA ,"41,17,000",Civil Works - Others,NA ,Tender,90.0,90.0,Sathipur in Jajpur Dist.,756122.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd,No ,No,AOC,Finance,Proceeding,Sunil Kumar Behera,10-Oct-2023 06:01 PM,finance_443028.pdf,BOQ Comparative Chart,1,2180027,ANJALI SAHOO,18-Jul-2023 04:29 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.PKJENA,Sunil Kumar Behera,10-Oct-2023 06:05 PM,techsummary_443028.pdf (4581.44 KB),10-Oct-2023,"INR 4,130,036",90.0,Sunil Kumar Behera,10-Oct-2023 06:12 PM,Sathipur.pdf (1292.00 KB),Renovation and Upgradation of Way Side Amenity Centre at Sathipur in Jajpur Dist.,1.0,2175302.0,KUNI ROUTRAY,INR,"4,130,036",S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.PKJENA,Sunil Kumar Behera,10-Oct-2023 06:10 PM,finsummary_443028.pdf (1291.96 KB),Odisha Tourism Devl. Corp.,2023_OTDC_90420_8,BP -I/02/2023-24Dt.21.06.2023,Renovation and Upgradation of Way Side Amenity Centre at Sathipur in Jajpur Dist.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2181369,ARACHIS ZEPPELIN SERVICES PRIVATE LIMITED,19-Jul-2023 04:44 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2181393,Bimalesh Nayak,19-Jul-2023 04:55 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2175302,KUNI ROUTRAY,17-Jul-2023 11:49 PM,Accepted-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2180872,MOHAMMED ILLIAS,19-Jul-2023 12:28 PM,Rejected-Technical,Not Fulfilled eligibility criteria,10-Oct-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2180989,M/S RANJAN KUMAR BEHERA,19-Jul-2023 01:25 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2180702,M/S SILICON INTERIORS,19-Jul-2023 11:21 AM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2179903,SANTANU KUMAR PRADHAN,18-Jul-2023 02:23 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2180849,SISIR KUMAR NAYAK,19-Jul-2023 12:18 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2177392,SS TRADERS AND CONSTRUCTION,19-Jul-2023 03:40 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
