Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",PRADEEP KUMAR SENAPATI,15-Oct-2023 12:26 PM,finsummary_455117.pdf (382.59 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,2023_TCDA_93328_1,SEUKID 01/2023-24 (SL04),Renovation of fall No-5 at RD 5.015km including protection wall to scoured bank of Dharanahandi disty.,16-Oct-2023,"INR 832,534",90.0,PRADEEP KUMAR SENAPATI,18-Oct-2023 11:17 PM,WO04.pdf (224.00 KB),Work Order,1.0,2239368.0,Rajesh Gouda,INR,"707,737",Finance,Bid opening summary,PRADEEP KUMAR SENAPATI,14-Oct-2023 11:42 PM,finance_455117.pdf,BOQ Comparative Chart,1,2245667,BHASKAR GANDA,09-Sep-2023 10:48 AM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",PRADEEP KUMAR SENAPATI,15-Oct-2023 01:09 AM,techsummary_455117.pdf (244.67 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC",29-Aug-2023 11:00 AM,11-Sep-2023 11:00 AM,29-Aug-2023 11:00 AM,09-Sep-2023 05:30 PM,NA ,NA ,29-Aug-2023 11:00 AM,09-Sep-2023 05:30 PM,Renovation of fall No-5 at RD 5.015km including protection wall to scoured bank of Dharanahandi disty.,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"8,32,534",Civil Works - Canal,NA ,Tender,90.0,90.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,1.0,ICICI BANK,"8,400",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,Yes,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,SEUKID 01/2023-24 (SL04),2023_TCDA_93328_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2242078,BIJAYA KUMAR SADANGI,08-Sep-2023 03:49 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,.pdf,"Tender cost, undertaking, Check list, and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2244423,BIJAY KUMAR PANDA,08-Sep-2023 05:01 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2244327,BIPIN KUMAR SAHU,08-Sep-2023 11:08 AM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2245199,GANESHA HARIJAN,09-Sep-2023 01:56 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2246228,MANORANJAN BARAD,09-Sep-2023 02:17 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2239368,Rajesh Gouda,07-Sep-2023 11:18 AM,Accepted-AOC,Qualified in transparent lottery system.,18-Oct-2023 11:17 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2233243,SANGAM KUMAR MISHRA,03-Sep-2023 07:53 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2245797,SANJUKTA PATTNAYAK,09-Sep-2023 09:53 AM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 12:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2246008,SUJATA RANI PATNAIK,09-Sep-2023 01:14 PM,Rejected-Technical,Invalid Contractor Registration Certificate,15-Oct-2023 01:09 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
