Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Officer,Internal,ok,Ajit Narayanprasad Giri,05-Oct-2023 02:04 PM,techsummary_436836.pdf (143.50 KB),1.0,2136763.0,ASHOK KUMAR MALLICK,INR,"1,460,630",Municipal Bodies||Pattamundai Municipality,2023_ORULB_88736_9,PM_01/2023-24,Construction of 06 Seated Community Toilet with Bathroom In Ward No -04 Sl No. 2,1,2136763,ASHOK KUMAR MALLICK,12-May-2023 04:02 PM,Accepted-AOC,accepted thorough lottery system,05-Oct-2023 02:15 PM,Finance,ok,Sushil Kumar Behera,17-May-2023 10:44 AM,,BOQ Comparative Chart,Executive Officer,Internal,,Ajit Narayanprasad Giri,05-Oct-2023 02:09 PM,finsummary_436836.pdf (97.54 KB),05-Oct-2023,"INR 1,460,630",60.0,Ajit Narayanprasad Giri,05-Oct-2023 02:12 PM,l1.pdf (98.00 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,"6,000",0.0,Nil,Nil,No,Construction of 06 Seated Community Toilet with Bathroom In Ward No -04 Sl No. 2,Construction of 06 Seated Community Toilet with Bathroom In Ward No -04 Sl No. 2,Please refer Tender documents. ,NA ,"14,56,090",Civil Works - Others,NA ,Tender,120.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,OFFICE OF THE MUNICIPALITY,No ,No,Municipal Bodies||Pattamundai Municipality,PM_01/2023-24,2023_ORULB_88736_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-May-2023 05:00 PM,15-May-2023 11:00 AM,04-May-2023 05:00 PM,13-May-2023 05:00 PM,04-May-2023 05:00 PM ,12-May-2023 01:00 PM ,04-May-2023 05:00 PM,13-May-2023 05:00 PM,1.0,ICICI BANK,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,Pattamundai Municipality,"14,561",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2136782,BIPAD BHANJAN MALIK,12-May-2023 04:16 PM,Rejected-AOC,l2,05-Oct-2023 02:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2136797,Mr.Paresh Chandra Jena,12-May-2023 01:01 PM,Rejected-AOC,l3,05-Oct-2023 02:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
