Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"4,000",0.0,Nil,Nil,No,14-Aug-2023 10:00 AM,25-Aug-2023 11:00 AM,14-Aug-2023 10:00 AM,24-Aug-2023 05:00 PM,NA ,NA ,14-Aug-2023 10:00 AM,24-Aug-2023 05:00 PM,30-Aug-2023 10:00 AM,1,ICICI BANK,Municipal Bodies||Barbil Municipality,4/2023-24,2023_ORULB_92229_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement of road from Mohan Munda house to Community latrine, Hesaburu, Nalda, ward No.1","Improvement of road from Mohan Munda house to Community latrine, Hesaburu, Nalda, ward No.1",Document as per DTCN ,NA ,"9,94,000",Civil Works - Roads,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality office,No ,No,Executive officer Barbil Municipality,Executive officer Barbil Municipality,1,Fee/PreQual/Technical,.pdf,Tender Document as per Tender call Notice,"9,940",Yes,percentage,1.0%,Nil,Nil,AOC,1.0,2216626.0,SUBASH CHANDRA PARIDA,INR,"952,246.25",Municipal Bodies||Barbil Municipality,2023_ORULB_92229_1,4/2023-24,"Improvement of road from Mohan Munda house to Community latrine, Hesaburu, Nalda, ward No.1",Laxman Mahanta,Internal,"Accountant, ME,EO, Asst. er PWD",Abhishek Panda,29-Aug-2023 06:07 PM,30-Aug-2023 10:00 AM,techsummary_447895.pdf (3165.66 KB),Laxman Mahanta,Internal,"AE,ME,EO",Abhishek Panda,09-Oct-2023 05:10 PM,finsummary_447895.pdf (415.36 KB),09-Oct-2023,"INR 952,246.25",45.0,Abhishek Panda,09-Oct-2023 05:11 PM,1w.pdf (246.00 KB),Contact value excluding GST,Technical,Open,Abhishek Panda,25-Aug-2023 12:14 PM,technical_447895.pdf,1,2216626,SUBASH CHANDRA PARIDA,24-Aug-2023 04:47 PM,Accepted-AOC,Lowest,09-Oct-2023 05:11 PM,Finance,Open,Abhishek Panda,31-Aug-2023 09:22 AM,finance_447895.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2216464,UMESHCHANDRA MUNDA,24-Aug-2023 04:13 PM,Rejected-Finance,Second,09-Oct-2023 05:10 PM,,,,,,,AOC
