Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_91734_1,15/OPHWC/2023-24,Construction of Office of the Zilla Parishad Bhawan at Boudh,1.0,2201957.0,VEE JAY ENGINEERS,INR,"82,807,899",AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,01-Sep-2023 08:02 PM,02-Sep-2023 11:00 AM,techsummary_446457.pdf (316.02 KB),AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,DURGA CHARANA MISHRA,20-Oct-2023 03:59 PM,finsummary_446457.pdf (741.87 KB),20-Oct-2023,"INR 82,807,899",360.0,DURGA CHARANA MISHRA,20-Oct-2023 04:01 PM,WORKING.pdf (282.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 13.10.2023,1.0,2201957.0,VEE JAY ENGINEERS,17-Aug-2023 08:05 PM,Accepted-AOC,QUALIFIED BIDDER AT-NEGOTIATED RATE,20-Oct-2023 04:02 PM,Technical,SINGLE BIDDER HAS PARTICIPATED,Bikram Keshari Malla,19-Aug-2023 11:35 AM,,Finance,financial bid open and comparative generated,Bikram Keshari Malla,02-Sep-2023 11:50 AM,,BOQ Comparative Chart,AOC,"11,800",0.0,Nil,Nil,No,04-Aug-2023 05:00 PM,19-Aug-2023 11:00 AM,04-Aug-2023 05:00 PM,18-Aug-2023 05:00 PM,04-Aug-2023 05:00 PM ,08-Aug-2023 05:00 PM ,04-Aug-2023 05:00 PM,18-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,Orissa State Police Housing and Welfare Corporation Ltd,15/OPHWC/2023-24,2023_OSPHW_91734_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,Construction of Office of the Zilla Parishad Bhawan at Boudh,Building Work,Please refer Tender documents  ,NA ,"8,28,07,899",Civil Works - Buildings,NA ,Tender,90.0,360.0,BOUDH,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"8,28,100",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
