S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,Municipal Bodies||Dharmagarh NAC,DHM/06/2023-24,2023_ORULB_93685_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"10,339",Yes,fixed,,Nil,Nil,"EXECUTIVE OFFICER, DHARMAGARH NAC",DHARMAGARH NAC,02-Sep-2023 04:00 PM,13-Sep-2023 10:00 AM,02-Sep-2023 04:00 PM,12-Sep-2023 05:00 PM,NA ,NA ,02-Sep-2023 04:00 PM,12-Sep-2023 05:00 PM,CONSTRUCTION OF PAVER ROAD FROM NH 130 TO NEW KALYAN MANDAP SITE IN WARD NO 11,CONSTRUCTION OF PAVER ROAD FROM NH 130 TO NEW KALYAN MANDAP SITE IN WARD NO 11,Please refer Tender documents. ,NA ,"10,33,898",Civil Works - Roads,NA ,Tender,90.0,45.0,DHARMAGARH NAC,766015.0,NA ,NA ,NA ,DHARMAGARH NAC,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST, REGISTRATION CERTIFICATE, AND OTHER DOCUMENT AS PER DTCN",AOC,ASHOK KUMAR MOHANTY,Internal,"GARIBA DEEP, RAJIB LOCHAN PODH, SARAT KUMAR SAHOO",Garib Deep,10-Oct-2023 04:06 PM,finsummary_457931.pdf (1340.08 KB),Municipal Bodies||Dharmagarh NAC,2023_ORULB_93685_17,DHM/06/2023-24,CONSTRUCTION OF PAVER ROAD FROM NH 130 TO NEW KALYAN MANDAP SITE IN WARD NO 11,1.0,2245432.0,TOPHAN BAG,INR,"878,917.208",Finance,Technical Evaluation,Sarat Kumar Sahoo,09-Oct-2023 02:57 PM,finance_457931.pdf,BOQ Comparative Chart,10-Oct-2023,"INR 878,917.208",45.0,Garib Deep,10-Oct-2023 04:07 PM,technical.pdf (1340.00 KB),1,2249073,PALLY SHREE SAHOO,12-Sep-2023 01:08 PM,Rejected-Finance,BY THE TENDER COMMITTEE,10-Oct-2023 04:06 PM,ASHOK KUMAR MOHANTY,Internal,"GARIBA DEEP,RAJIB LOCHAN PODH,SARAT KUMAR SAHOO",Garib Deep,10-Oct-2023 06:18 AM,techsummary_457931.pdf (1340.08 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2245432,TOPHAN BAG,12-Sep-2023 12:30 PM,Accepted-AOC,by the tender committee,10-Oct-2023 04:07 PM,,,,,,,AOC
