Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director,Internal,,Bhagyalipi Malla,29-Sep-2023 04:10 PM,29-Sep-2023 05:00 PM,techsummary_458583.pdf (378.31 KB),1.0,2268957.0,The Heritage Consortium,INR,"5,700,000",Director Odia Language Literature and Culture||Odisha State Museum,2023_OLLCM_93827_1,1749/OSM,BEAUTIFICATION OF THE GARDEN,Finance,Financial Comparative,Bhagyalipi Malla,19-Oct-2023 04:57 PM,finance_458583.pdf,BOQ Comparative Chart,1,2268964,CREATIVE SOLUTION,25-Sep-2023 02:50 PM,Rejected-AOC,not acceptable cost,19-Oct-2023 05:34 PM,Technical,"Technical Bid Evaluated, both the firms qualify.",Bhagyalipi Malla,29-Sep-2023 04:00 PM,technical_458583.pdf,Bhagyalipi Malla,Internal,,Bhagyalipi Malla,19-Oct-2023 05:15 PM,finsummary_458583.pdf (1077.28 KB),19-Oct-2023,"INR 5,700,000",90.0,Bhagyalipi Malla,19-Oct-2023 05:33 PM,THC_Workorder_1749.pdf (381.00 KB),AOC,05-Sep-2023 10:30 AM,26-Sep-2023 11:00 AM,07-Sep-2023 10:00 AM,25-Sep-2023 04:00 PM,06-Sep-2023 10:00 AM ,07-Sep-2023 10:00 AM ,07-Sep-2023 10:00 AM,25-Sep-2023 04:00 PM,29-Sep-2023 05:00 PM,1,Fee/PreQual/Technical,.pdf,Detailed Tender Pre Qualification Documents in one pdf,Director Odia Language Literature and Culture||Odisha State Museum,1749/OSM,2023_OLLCM_93827_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,Superintendent of Museum,"Odisha State Museum, Kalpana Square, Bhubaneswar",1,ICICI BANK,"57,000",No,fixed,,Nil,Nil,"6,000",Nil,Nil,No,BEAUTIFICATION OF THE GARDEN,"BEAUTIFICATION OF THE GARDEN - THE DESIGN, SUPPLY, INSTALLATION, AND MAINTENANCE OF ANIMATRONICS DINOSAURS AND METAL GARDEN TRELLISES TAILORED INTENDED FOR THE GARDEN",Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,90.0,NA ,"Odisha State Museum, Bhubneswar",751014.0,"Odisha State Museum, Bhubaneswar ","Odisha State Museum, Bhubaneswar ",07-Sep-2023 11:00 AM ,"Odisha State Museum, Bhubaneswar",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2268957,The Heritage Consortium,25-Sep-2023 02:05 PM,Accepted-AOC,L1,19-Oct-2023 05:34 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,Finance,.xls,Estimate,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
