Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC,PAN,GST,EPF Affidavits and all Other document as per DTCN.","20,000",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITY","Construction of Road and Drain inside Mundia Sahi, W.No.-7","Construction of Road and Drain inside Mundia Sahi, W.No.-7",Please refer Tender documents. ,NA ,"20,00,000",Civil Works - Others,NA ,Tender,30.0,30.0,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,17-Apr-2023 09:00 AM,29-Apr-2023 09:00 AM,17-Apr-2023 09:00 AM,28-Apr-2023 01:00 PM,NA ,NA ,17-Apr-2023 09:00 AM,28-Apr-2023 01:00 PM,Municipal Bodies||Jatni Municipal Council,EO/JMC/066/2023-24,2023_ORULB_87778_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,executive officer,Internal,,Dillip Kumar Mohanty,19-Oct-2023 11:02 AM,finsummary_434216.pdf (306.00 KB),Municipal Bodies||Jatni Municipal Council,2023_ORULB_87778_13,EO/JMC/066/2023-24,"Construction of Road and Drain inside Mundia Sahi, W.No.-7",1.0,2125309.0,SAYED FARUK ALI,INR,"1,439,167",Finance,three bidders are participated,Dillip Kumar Mohanty,02-May-2023 10:24 AM,finance_434216.pdf,BOQ Comparative Chart,1,2125431,ALAKA ENTERPRISES,28-Apr-2023 12:46 PM,Rejected-Finance,lottery,19-Oct-2023 11:02 AM,19-Oct-2023,"INR 1,439,167",30.0,Dillip Kumar Mohanty,19-Oct-2023 11:03 AM,1337.pdf (306.00 KB),executive officer,Internal,,Dillip Kumar Mohanty,19-Oct-2023 10:59 AM,techsummary_434216.pdf (306.00 KB),AOC
,,,,,,,.xls,boq,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2125309,SAYED FARUK ALI,28-Apr-2023 11:43 AM,Accepted-AOC,work order issued,19-Oct-2023 11:04 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2125310,SHAHENAZ BEGUM,28-Apr-2023 12:09 PM,Rejected-Finance,lottery,19-Oct-2023 11:02 AM,,,,,,,,,,,,,AOC
